tc_name,index,check_additional_charge,check_credit_offset,check_debit_offset,check_payment,check_payment_reversal,product_type,exp_product_file_name,delinquent,charge_off,account_effective_dt,cycle_interval,cycle_due_interval,account_effective_dt_time,credit_limit_cents,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,annual_fee_cents,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,payment1_effective_date,payment1_amt_cents,payment2_effective_date,charge_amt_cents,Rolltime_after_onboard,balance_cents,principal_cents,balance_charge_cents,principal_charge_cents,payment1_val_cents,balance_payment_cents,principal_payment_cents,balance_orig_cents,principal_orig_cents,monthly_fee_effective_date,balance_month_cents,principal_month_cents,annual_fee_effective_date,balance_annual_cents,principal_annual_cents,debit_effective_date,debit_offset_val,balance_debit_offset,principal_debit_offset,credit_offset_val,balance_credit_offset,principal_credit_offset,payment_reversal_date,payment_amt_rev,balance_pay_rev,principal_pay_rev,balance_pay_rev_fee,principal_pay_rev_fee,late_fee_effective_date,balance_late_fee_cents,principal_late_fee_cents,interest_balance_cents,deferred_interest_balance_cents,am_deferred_interest_balance_cents,am_interest_balance_cents,total_interest_paid_to_date_cents
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,18,TRUE,FALSE,FALSE,TRUE,FALSE,Revolving,product_revolving.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,15,100000,100000,30000,30000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,19,TRUE,FALSE,FALSE,TRUE,FALSE,Charge,product_charge.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,15,100000,100000,40000,40000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,20,TRUE,FALSE,FALSE,TRUE,FALSE,Credit,product_credit.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,15,100000,100000,20000,20000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,,,,,,,,,,,,,,,,,0,0,0,0,0
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,21,TRUE,FALSE,TRUE,TRUE,FALSE,Installment,payment_product.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,0,0,NONE,0,0,0,120000,0,50000,15,100000,100000,50000,50000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,,,,,,,,,,,,,0,0,0,0,0
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,22,TRUE,FALSE,TRUE,TRUE,FALSE,Revolving,product_revolving.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,15,100000,100000,30000,30000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,,,,,,,,,,,,,0,0,0,0,0
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,23,TRUE,FALSE,TRUE,TRUE,FALSE,Charge,product_charge.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,15,100000,100000,40000,40000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,,,,,,,,,,,,,0,0,0,0,0
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,24,TRUE,FALSE,TRUE,TRUE,FALSE,Credit,product_credit.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,15,100000,100000,20000,20000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,,,,,,,,,,,,,0,0,0,0,0
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,25,TRUE,TRUE,TRUE,TRUE,FALSE,Installment,payment_product.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,0,0,NONE,0,0,0,120000,0,50000,15,100000,100000,50000,50000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,,,,,,,,,,0,0,0,0,0
PP1559 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on Revolving ,26,TRUE,TRUE,TRUE,TRUE,FALSE,Revolving,product_revolving.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,15,100000,100000,30000,30000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,,,,,,,,,,0,0,0,0,0
PP1560 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on charge,27,TRUE,TRUE,TRUE,TRUE,FALSE,Charge,product_charge.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,15,100000,100000,40000,40000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,,,,,,,,,,0,0,0,0,0
PP1561 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items on credit,28,TRUE,TRUE,TRUE,TRUE,FALSE,Credit,product_credit.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,15,100000,100000,20000,20000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,,,,,,,,,,0,0,0,0,0
PP1477 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items  on Installment,29,TRUE,TRUE,TRUE,TRUE,TRUE,Installment,payment_product.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,0,0,NONE,0,0,0,120000,0,50000,15,100000,100000,50000,50000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-120000,-120000,-120000,,,,,,0,0,0,0,0
PP1562 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on Revolving ,30,TRUE,TRUE,TRUE,TRUE,TRUE,Revolving,product_revolving.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,15,100000,100000,30000,30000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-100000,-100000,-100000,,,,,,0,0,0,0,0
PP1563 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on charge,31,TRUE,TRUE,TRUE,TRUE,TRUE,Charge,product_charge.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,15,100000,100000,40000,40000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-100000,-100000,-100000,,,,,,0,0,0,0,0
PP1564 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Line items on credit,32,TRUE,TRUE,TRUE,TRUE,TRUE,Credit,product_credit.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,0,5800,11500,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,15,100000,100000,20000,20000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-120000,-120000,-120000,,,,,,0,0,0,0,0
PP1478 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Installment,33,TRUE,TRUE,TRUE,TRUE,TRUE,Installment,payment_product.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,1500,5800,11500,0,0,NONE,0,0,0,120000,0,50000,15,100000,100000,50000,50000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-120000,-120000,-120000,1500,0,,,,0,0,0,0,0
PP1565 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on Revolving,34,TRUE,TRUE,TRUE,TRUE,TRUE,Revolving,product_revolving.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,1500,5800,11500,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,15,100000,100000,30000,30000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-100000,-100000,-100000,1500,0,,,,0,0,0,0,0
PP1566 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items  on charge,35,TRUE,TRUE,TRUE,TRUE,TRUE,Charge,product_charge.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,1500,5800,11500,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,15,100000,100000,40000,40000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-100000,-100000,-100000,1500,0,,,,0,0,0,0,0
PP1567 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Line items on credit,36,TRUE,TRUE,TRUE,TRUE,TRUE,Credit,product_credit.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,0,1500,5800,11500,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,15,100000,100000,20000,20000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-120000,-120000,-120000,1500,0,,,,0,0,0,0,0
PP1479 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Late fees Line items  on Installment,37,TRUE,TRUE,TRUE,TRUE,TRUE,Installment,payment_product.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,2800,1500,5800,11500,0,0,NONE,0,0,0,120000,0,50000,15,100000,100000,50000,50000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-120000,-120000,-120000,1500,0,20,2800,0,0,0,0,0,0
PP1568 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Late fees Line items  on Revolving,38,TRUE,TRUE,TRUE,TRUE,TRUE,Revolving,product_revolving.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,2800,1500,5800,11500,3,999999,PERCENT_INTEREST,10,100,0,100000,0,30000,15,100000,100000,30000,30000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-100000,-100000,-100000,1500,0,18,2800,0,0,0,0,0,0
PP1569 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Late fees Line items on charge,39,TRUE,TRUE,TRUE,TRUE,TRUE,Charge,product_charge.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,2800,1500,5800,11500,3,99999,PERCENT_PRINCIPAL,0,100,0,100000,0,40000,15,100000,100000,40000,40000,-100000,-100000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-100000,-100000,-100000,1500,0,20,2800,0,0,0,0,0,0
PP1570 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Payment reversals Payment Reversal fees Late fees Line items on credit,40,TRUE,TRUE,TRUE,TRUE,TRUE,Credit,product_credit.json,99,99999,-467,30 days,5 days,0,300000,100000,20000,2800,1500,5800,11500,3,20,PERCENT_PRINCIPAL,3,5,0,120000,0,20000,15,100000,100000,20000,20000,-120000,-120000,0,20000,0,13,5800,0,1/1/2021,11500,0,0,-20,-20,0,50,50,0,0,-120000,-120000,-120000,1500,0,18,2800,0,0,0,0,0,0
