tc_name,index,type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents,exp_interest_balance_cents,exp_deferred_interest_balance_cents,exp_am_deferred_interest_balance_cents,exp_am_interest_balance_cents,exp_total_interest_paid_to_date_cents,exp_description,merchant_name,mcc_code,ext_key,ext_value,exp_status
PP2125-Get information on a payment line item for a specific installment account,67,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP2125-Get information on a payment line item for a specific installment account,68,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2125-Get information on a payment line item for a specific installment account,64,getlineitem,30,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2125-Get information on a payment line item for a specific installment account,65,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2126-Get information on a payment line item for a specific charge account,69,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2126-Get information on a payment line item for a specific charge account,70,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2126-Get information on a payment line item for a specific charge account,71,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP2126-Get information on a payment line item for a specific charge account,72,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP2126-Get information on a payment line item for a specific charge account,73,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2127-Get information on a payment line item for a specific credit account,74,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2127-Get information on a payment line item for a specific credit account,75,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2127-Get information on a payment line item for a specific credit account,76,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP2127-Get information on a payment line item for a specific credit account,77,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP2127-Get information on a payment line item for a specific credit account,78,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP1501-Get information on a payment reversal line item for a specific revolving account,79,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1501-Get information on a payment reversal line item for a specific revolving account,80,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1501-Get information on a payment reversal line item for a specific revolving account,81,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP1501-Get information on a payment reversal line item for a specific revolving account,82,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP1501-Get information on a payment reversal line item for a specific revolving account,83,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP1501-Get information on a payment reversal line item for a specific revolving account,84,paymentreversal,,,,,,,,,,,,,,,,,,,
PP1501-Get information on a payment reversal line item for a specific revolving account,86,getlineitem,30,0,,,PAYMENT_REVERSAL,,,,,,,,,,,,,,
PP1501-Get information on a payment reversal line item for a specific revolving account,87,validation,,,,,PAYMENT_REVERSAL,100000,100000,0,0,0,0,0,0,,,,,,VALID
PP2128-Get information on a payment reversal line item for a specific installment account,88,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2128-Get information on a payment reversal line item for a specific installment account,89,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2128-Get information on a payment reversal line item for a specific installment account,92,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP2128-Get information on a payment reversal line item for a specific installment account,93,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP2128-Get information on a payment reversal line item for a specific installment account,94,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2128-Get information on a payment reversal line item for a specific installment account,95,paymentreversal,,,,,,,,,,,,,,,,,,,
PP2128-Get information on a payment reversal line item for a specific installment account,97,getlineitem,30,0,,,PAYMENT_REVERSAL,,,,,,,,,,,,,,
PP2128-Get information on a payment reversal line item for a specific installment account,98,validation,,,,,PAYMENT_REVERSAL,100000,100000,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2128-Get information on a payment reversal line item for a specific installment account,90,getlineitem,,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2128-Get information on a payment reversal line item for a specific installment account,91,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2129-Get information on a payment reversal line item for a specific charge account,99,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2129-Get information on a payment reversal line item for a specific charge account,100,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2129-Get information on a payment reversal line item for a specific charge account,101,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP2129-Get information on a payment reversal line item for a specific charge account,102,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP2129-Get information on a payment reversal line item for a specific charge account,103,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2129-Get information on a payment reversal line item for a specific charge account,104,paymentreversal,,,,,,,,,,,,,,,,,,,
PP2129-Get information on a payment reversal line item for a specific charge account,106,getlineitem,30,0,,,PAYMENT_REVERSAL,,,,,,,,,,,,,,
PP2129-Get information on a payment reversal line item for a specific charge account,107,validation,,,,,PAYMENT_REVERSAL,100000,100000,0,0,0,0,0,0,,,,,,VALID
PP2130-Get information on a payment reversal line item for a specific credit account,108,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2130-Get information on a payment reversal line item for a specific credit account,109,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2130-Get information on a payment reversal line item for a specific credit account,110,payment,,2021-11-07T11:15:03-05:00,,100000,,,,,,,,,,,,,,,
PP2130-Get information on a payment reversal line item for a specific credit account,111,getlineitem,,2021-11-07T,,,PAYMENT,,,,,,,,,,,,,,
PP2130-Get information on a payment reversal line item for a specific credit account,112,validation,,,2021-11-07T,,PAYMENT,-100000,0,0,0,0,0,0,0,upd payment principal_cents: -100000 + 100000,,,,,VALID
PP2130-Get information on a payment reversal line item for a specific credit account,113,paymentreversal,,,,,,,,,,,,,,,,,,,
PP2130-Get information on a payment reversal line item for a specific credit account,115,getlineitem,30,0,,,PAYMENT_REVERSAL,,,,,,,,,,,,,,
PP2130-Get information on a payment reversal line item for a specific credit account,116,validation,,,,,PAYMENT_REVERSAL,100000,100000,0,0,0,0,0,0,,,,,,VALID
PP1502-Get information on a origination fee line item for a specific revolving account,117,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP1502-Get information on a origination fee line item for a specific revolving account,118,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP1502-Get information on a origination fee line item for a specific revolving account,119,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1502-Get information on a origination fee line item for a specific revolving account,120,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2131-Get information on a origination fee line item for a specific installment account,121,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP2131-Get information on a origination fee line item for a specific installment account,122,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP2131-Get information on a origination fee line item for a specific installment account,123,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2131-Get information on a origination fee line item for a specific installment account,124,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2132-Get information on a origination fee line item for a specific charge account,127,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP2132-Get information on a origination fee line item for a specific charge account,128,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP2132-Get information on a origination fee line item for a specific charge account,129,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2132-Get information on a origination fee line item for a specific charge account,130,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2133-Get information on a origination fee line item for a specific credit account,131,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP2133-Get information on a origination fee line item for a specific credit account,132,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP2133-Get information on a origination fee line item for a specific credit account,133,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2133-Get information on a origination fee line item for a specific credit account,134,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2131-Get information on a origination fee line item for a specific installment account,125,getlineitem,30,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2131-Get information on a origination fee line item for a specific installment account,126,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,135,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,136,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,137,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,138,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,139,feereversal,,,,,,,,,,,,,,,,,,,
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,139,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP1503-Get information on a waiver of origination fee line item for a specific revolving account,140,validation,,,,,FEE_REVERSAL,-20000,0,0,0,0,0,0,0,upd payment principal_cents: -20000 + 20000,,,,,VALID
PP2134-Get information on a waiver of origination fee line item for a specific installment account,141,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2134-Get information on a waiver of origination fee line item for a specific installment account,142,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2134-Get information on a waiver of origination fee line item for a specific installment account,145,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP2134-Get information on a waiver of origination fee line item for a specific installment account,146,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP2134-Get information on a waiver of origination fee line item for a specific installment account,147,feereversal,,,,,,,,,,,,,,,,,,,
PP2134-Get information on a waiver of origination fee line item for a specific installment account,139,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2134-Get information on a waiver of origination fee line item for a specific installment account,148,validation,,,,,FEE_REVERSAL,-20000,0,0,0,0,0,0,0,upd payment principal_cents: -20000 + 20000,,,,,VALID
PP2134-Get information on a waiver of origination fee line item for a specific installment account,143,getlineitem,,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2134-Get information on a waiver of origination fee line item for a specific installment account,144,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2135-Get information on a waiver of origination fee line item for a specific charge account,149,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2135-Get information on a waiver of origination fee line item for a specific charge account,150,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2135-Get information on a waiver of origination fee line item for a specific charge account,151,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP2135-Get information on a waiver of origination fee line item for a specific charge account,152,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP2135-Get information on a waiver of origination fee line item for a specific charge account,153,feereversal,,,,,,,,,,,,,,,,,,,
PP2135-Get information on a waiver of origination fee line item for a specific charge account,139,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2135-Get information on a waiver of origination fee line item for a specific charge account,154,validation,,,,,FEE_REVERSAL,-20000,0,0,0,0,0,0,0,upd payment principal_cents: -20000 + 20000,,,,,VALID
PP2136-Get information on a waiver of origination fee line item for a specific credit account,155,getlineitem,,2021-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2136-Get information on a waiver of origination fee line item for a specific credit account,156,validation,2021-11-08T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2136-Get information on a waiver of origination fee line item for a specific credit account,157,getlineitem,,2021-11-07T,,,ORIG_FEE,,,,,,,,,,,,,,
PP2136-Get information on a waiver of origination fee line item for a specific credit account,158,validation,,,2021-11-07T,,ORIG_FEE,20000,20000,0,0,0,0,0,0,origination_fee_cents,,,,,VALID
PP2136-Get information on a waiver of origination fee line item for a specific credit account,159,feereversal,,,,,,,,,,,,,,,,,,,
PP2136-Get information on a waiver of origination fee line item for a specific credit account,139,getlineitem,30,0,,,FEE_REVERSAL,,,,,,,,,,,,,,
PP2136-Get information on a waiver of origination fee line item for a specific credit account,160,validation,,,,,FEE_REVERSAL,-20000,0,0,0,0,0,0,0,upd payment principal_cents: -20000 + 20000,,,,,VALID
PP1504-Get information on a annual fee line item for a specific revolving account,135,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP1504-Get information on a annual fee line item for a specific revolving account,136,validation,2020-11-08T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP1504-Get information on a annual fee line item for a specific revolving account,137,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP1504-Get information on a annual fee line item for a specific revolving account,138,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP2137-Get information on a annual fee line item for a specific installment account,141,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2137-Get information on a annual fee line item for a specific installment account,142,validation,2020-11-09T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,0,0,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2137-Get information on a annual fee line item for a specific installment account,145,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP2137-Get information on a annual fee line item for a specific installment account,146,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP2137-Get information on a annual fee line item for a specific installment account,143,getlineitem,,2021-11-07T,,,LOAN,,,,,,,,,,,,,,
PP2137-Get information on a annual fee line item for a specific installment account,144,validation,,,,,LOAN,100000,100000,100000,0,0,0,0,0,roll up loan,,,,,VALID
PP2138-Get information on a annual fee line item for a specific charge account,150,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2138-Get information on a annual fee line item for a specific charge account,151,validation,2020-11-08T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2138-Get information on a annual fee line item for a specific charge account,152,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP2138-Get information on a annual fee line item for a specific charge account,153,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP2139-Get information on a annual fee line item for a specific credit account,157,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
PP2139-Get information on a annual fee line item for a specific credit account,158,validation,2020-11-08T11:15:03-05:00,,2020-11-07T,,CHARGE,100000,100000,100000,0,0,0,0,0,initial_principal_cents,,,,,VALID
PP2139-Get information on a annual fee line item for a specific credit account,159,getlineitem,2021-01-08T11:15:03-05:00,2020-12-31T,,,YEAR_FEE,,,,,,,,,,,,,,
PP2139-Get information on a annual fee line item for a specific credit account,160,validation,,,2020-12-31T,,YEAR_FEE,50000,50000,0,0,0,0,0,0,year_fee_cents,,,,,VALID
PP1505-Get information on a annual fee waiver line item for a specific revolving account,135,getlineitem,,2020-11-07T,,,CHARGE,,,,,,,,,,,,,,
