tc_name,index,product_type,exp_product_file_name,promo_int,promo_len,promo_min_pay_type,promo_default_interest_rate_percent,promo_min_pay_percent,account_effective_dt,delinquent,charge_off,cycle_interval,cycle_due_interval,exp_account_file_name,credit_limit_cents,initial_principal_cents,origination_fee_cents,late_fee_cents,payment_reversal_fee_cents,monthly_fee_cents,annual_fee_cents
PP2149-Attempt to get surcharge lineitem using installment product,42,Installment,product_surcharge.json,0,0,NONE,0,0,2021-10-15T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1509-Attempt to reverse surcharge lineitem using revolving product,43,Revolving,product_revolving_surcharge.json,3,999999,PERCENT_INTEREST,10,100,2021-10-15T11:15:03-05:00,99,99999,1 month,-5 days,account_credit.json,300000,100000,0,0,0,0,0
PP2150-Attempt to reverse surcharge lineitem using installment product,44,Installment,product_surcharge.json,0,0,NONE,0,0,2021-10-15T11:15:03-05:00,99,99999,1 month,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1510-Attempt to get latefee lineitem using revolving product,45,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-15T11:15:03-05:00,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP2151-Attempt to get latefee lineitem using installment product,46,Installment,payment_product.json,0,0,NONE,0,0,2021-11-01T11:15:03-05:01,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP2152-Attempt to get latefee lineitem using charge product,47,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-10-15T11:15:03-05:02,99,99999,1 month,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP2153-Attempt to get latefee lineitem using credit product,48,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-15T11:15:03-05:03,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP1511-Attempt to reverse latefee lineitem using revolving product,49,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-15T11:15:03-05:00,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP2154-Attempt to reverse latefee lineitem using revolving product,50,Installment,payment_product.json,0,0,NONE,0,0,2021-11-01T11:15:03-05:01,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP2155-Attempt to reverse latefee lineitem using revolving product,51,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-10-15T11:15:03-05:02,99,99999,1 month,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP2156-Attempt to reverse latefee lineitem using revolving product,52,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-15T11:15:03-05:03,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP1512-Attempt to get payment reversal fee lineitem using revolving product,53,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP2157-Attempt to get payment reversal fee lineitem using installment product,54,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP2158-Attempt to get payment reversal fee lineitem using charge product,55,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP2159-Attempt to get payment reversal fee lineitem using credit product,56,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP1513-Attempt to reverse payment reversal fee lineitem using revolving product,57,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP2160-Attempt to reverse payment reversal fee lineitem using installment product,58,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP2161-Attempt to reverse payment reversal fee lineitem using charge product,59,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP2162-Attempt to reverse payment reversal fee lineitem using credit product,60,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,1800,0,0
PP1514-Attempt to get debit offset lineitem using revolving product,61,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2163-Attempt to get debit offset lineitem using installment product,62,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2164-Attempt to get debit offset lineitem using charge product,63,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2165-Attempt to get debit offset lineitem using credit product,64,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1515-Attempt to get credit offset lineitem using revolving product,65,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2166-Attempt to get credit offset lineitem using installment product,66,Installment,payment_product.json,0,0,NONE,0,0,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2167-Attempt to get credit offset lineitem using charge product,67,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2168-Attempt to get credit offset lineitem using credit product,68,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1524-Verify debit offset transactions are statused as Debit Offset,69,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1525-Verify credit offset transactions are statused as Credit Offset,70,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1493-Validate details fetched and displayed for each Line item under line item overview section,71,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-15T11:15:03-05:00,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP1494-Validate details fetched and displayed for each Line item under line item Summary section,72,Installment,payment_product.json,0,0,NONE,0,0,2021-11-01T11:15:03-05:01,99,99999,7 days,2 days,account_credit.json,300000,100000,0,5800,0,0,0
PP1495-Validate details fetched and displayed for each Line item under merchant data section,73,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-01T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2169-Validate details fetched in charge and displayed for each Line item under merchant data section,74,Charge,product_charge.json,3,99999,PERCENT_PRINCIPAL,0,100,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP2170-Validate details fetched in Credit and displayed for each Line item under merchant data section,75,Credit,product_credit.json,3,20,PERCENT_PRINCIPAL,3,5,2021-11-07T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1497-Validate details fetched and displayed for each Line item under  external fields  section,76,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-01T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1516-Validate default value for a line item status is Valid,77,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-01T11:15:03-05:00,99,99999,7 days,-2 days,account_credit.json,300000,100000,0,0,0,0,0
PP1526-Verify payment for which payment processor call has been made and approval status is to confirm is marked as Pending status,78,Revolving,product_revolving.json,3,999999,PERCENT_INTEREST,10,100,2021-11-01T11:15:03-05:00,99,99999,7 days,-2 days,account_payment_processor_ach_repay.json,300000,100000,0,0,0,0,0
