tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,exp_original_amount_cents,exp_balance_cents,exp_principal_cents
PP1544 - Get  Charges and Initial Cents and Payments and interest Line items on Revolving,22,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-100000,0,0
PP1545 - Get Charges and Initial Cents and Payments and interest Line items on charge,23,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1545 - Get Charges and Initial Cents and Payments and interest Line items on charge,24,charge,,2021-11-10T11:15:03-05:00,,40000,,,,
PP1545 - Get Charges and Initial Cents and Payments and interest Line items on charge,25,validation,2021-11-11T11:15:03-05:00,,2021-11-10T,,CHARGE,40000,40000,40000
PP1545 - Get Charges and Initial Cents and Payments and interest Line items on charge,26,payment,,2021-11-12T11:15:03-05:00,,100000,,,,
PP1545 - Get Charges and Initial Cents and Payments and interest Line items on charge,27,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-100000,0,0
PP1546 - Get Charges and Initial Cents and Payments and interest Line items  on credit ,28,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1546 - Get Charges and Initial Cents and Payments and interest Line items  on credit ,29,charge,,2021-11-10T11:15:03-05:00,,40000,,,,
PP1546 - Get Charges and Initial Cents and Payments and interest Line items  on credit ,30,validation,2021-11-11T11:15:03-05:00,,2021-11-10T,,CHARGE,40000,40000,40000
PP1546 - Get Charges and Initial Cents and Payments and interest Line items  on credit ,31,payment,,2021-11-12T11:15:03-05:00,,120000,,,,
PP1546 - Get Charges and Initial Cents and Payments and interest Line items  on credit ,32,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-120000,0,0
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,33,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,ORIG_FEE,20000,20000,0
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,34,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,0,0
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,35,validation,,,2021-11-07T,,LOAN,100000,100000,100000
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,36,charge,,2021-11-10T11:15:03-05:00,,50000,,,,
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,37,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,50000,50000,50000
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,38,payment,,2021-11-12T11:15:03-05:00,,120000,,,,
PP1472 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Installment ,39,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-120000,0,0
PP1547 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Revolving,40,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,ORIG_FEE,20000,20000,0
PP1547 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Revolving,41,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1547 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Revolving,42,charge,,2021-11-10T11:15:03-05:00,,30000,,,,
PP1547 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Revolving,43,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,30000,30000,30000
PP1547 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Revolving,44,payment,,2021-11-12T11:15:03-05:00,,100000,,,,
PP1547 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on Revolving,45,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-100000,0,0
PP1548 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on charge,46,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,ORIG_FEE,20000,20000,0
PP1548 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on charge,47,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1548 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on charge,48,charge,,2021-11-10T11:15:03-05:00,,40000,,,,
PP1548 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on charge,49,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,40000,40000,40000
PP1548 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on charge,50,payment,,2021-11-12T11:15:03-05:00,,100000,,,,
PP1548 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on charge,51,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-100000,0,0
PP1549 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on credit,52,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,ORIG_FEE,20000,20000,0
PP1549 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on credit,53,validation,2021-11-09T11:15:03-05:00,,2021-11-07T,,CHARGE,100000,100000,100000
PP1549 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on credit,54,charge,,2021-11-10T11:15:03-05:00,,20000,,,,
PP1549 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on credit,55,validation,2021-10-11T11:15:03-05:00,,2021-11-10T,,CHARGE,20000,20000,20000
PP1549 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on credit,56,payment,,2021-11-12T11:15:03-05:00,,120000,,,,
PP1549 - Get Charges and Initial Cents and Payments and Origination fees and interest Line items on credit,57,validation,2021-11-13T11:15:03-05:00,,2021-11-12T,,PAYMENT,-120000,0,0
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,58,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,ORIG_FEE,20000,20000,0
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,59,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,CHARGE,100000,0,0
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,60,validation,,,2021-10-22T,,LOAN,100000,100000,100000
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,61,charge,,2021-10-25T12:16:08-04:00,,50000,,,,
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,62,validation,2021-10-26T12:16:08-04:00,,2021-10-25T,,CHARGE,50000,50000,50000
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,63,payment,,2021-10-27T12:16:08-04:00,,120000,,,,
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,64,validation,2021-11-08T12:16:08-04:00,,2021-10-27T,,PAYMENT,-120000,0,0
PP1473 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Installment,65,validation,,,2021-10-31T,,MONTH_FEE,5800,5800,0
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,66,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,ORIG_FEE,20000,20000,0
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,67,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,CHARGE,100000,100000,100000
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,68,charge,,2021-10-25T12:16:08-04:00,,50000,,,,
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,69,validation,2021-10-26T12:16:08-04:00,,2021-10-25T,,CHARGE,50000,50000,50000
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,70,payment,,2021-10-27T12:16:08-04:00,,120000,,,,
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,71,validation,2021-11-08T12:16:08-04:00,,2021-10-27T,,PAYMENT,-120000,0,0
PP1550 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on Revolving ,72,validation,,,2021-10-31T,,MONTH_FEE,5800,5800,0
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,73,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,ORIG_FEE,20000,20000,0
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,74,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,CHARGE,100000,100000,100000
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,75,charge,,2021-10-25T12:16:08-04:00,,50000,,,,
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,76,validation,2021-10-26T12:16:08-04:00,,2021-10-25T,,CHARGE,50000,50000,50000
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,77,payment,,2021-10-27T12:16:08-04:00,,120000,,,,
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,78,validation,2021-11-08T12:16:08-04:00,,2021-10-27T,,PAYMENT,-120000,0,0
PP1551 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on charge,79,validation,,,2021-10-31T,,MONTH_FEE,5800,5800,0
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,80,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,ORIG_FEE,20000,20000,0
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,81,validation,2021-10-24T12:16:08-04:00,,2021-10-22T,,CHARGE,100000,100000,100000
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,82,charge,,2021-10-25T12:16:08-04:00,,50000,,,,
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,83,validation,2021-10-26T12:16:08-04:00,,2021-10-25T,,CHARGE,50000,50000,50000
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,84,payment,,2021-10-27T12:16:08-04:00,,120000,,,,
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,85,validation,2021-11-08T12:16:08-04:00,,2021-10-27T,,PAYMENT,-120000,0,0
PP1552 - Get Charges and Initial Cents Payments Origination fees Monthly fees and Interest Line items on credit,86,validation,,,2021-10-31T,,MONTH_FEE,5800,5800,0
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,87,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,88,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,0,0
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,89,validation,,,2020-09-11T,,LOAN,100000,100000,100000
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,90,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,91,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,92,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,93,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,94,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1474 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Installment,95,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,96,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,97,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,98,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,99,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,100,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,101,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,102,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1553 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on Revolving,103,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,104,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,105,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,106,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,107,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,108,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,109,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,110,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1554 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on charge,111,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,112,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,113,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,114,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,115,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,116,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,117,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,118,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1555 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Line items on credit,119,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,120,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,121,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,0,0
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,122,validation,,,2020-09-11T,,LOAN,100000,100000,100000
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,123,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,124,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,0,0
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,125,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,126,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,127,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,128,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,129,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1475 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Installment,130,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,131,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,132,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,133,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,134,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,135,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,136,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,137,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,138,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,139,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1556 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on Revolving,140,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,141,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,142,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,143,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,144,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,145,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,146,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,147,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,148,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,149,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1557 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on charge,150,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,151,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,152,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,CHARGE,100000,100000,100000
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,153,debitoffset,,2020-09-11T12:16:16-04:00,,20,,,,
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,154,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,DEBIT_OFFSET,-20,-20,0
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,155,charge,,2020-09-14T12:16:08-04:00,,50000,,,,
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,156,validation,2020-09-15T12:16:08-04:00,,2020-09-14T,,CHARGE,50000,50000,50000
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,157,payment,,2020-09-15T12:16:08-04:00,,120000,,,,
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,158,validation,2021-01-08T12:16:08-04:00,,2020-09-15T,,PAYMENT,-120000,0,0
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,159,validation,,,2020-12-31T,,MONTH_FEE,5800,5800,0
PP1558 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Line items on credit,160,validation,,,2020-12-31T,,YEAR_FEE,11500,11500,0
PP1476 - Get Charges and Initial Cents Payments Origination fees Monthly fees  Annual Fees and Interest Debit Offset Credit Offset Line items  on Installment,161,validation,2020-09-13T12:16:16-04:00,,2020-09-11T,,ORIG_FEE,20000,20000,0
