tc_name,index,cycle_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents
pp582 - partial payments through statements - Statements with no origination fees - charge - monthly fees - annual fees - annual fees and charge payment,29,1 month,2020-10-01T02:18:27-08:00,0,100000,0,5000,5000
pp583 - partial payments through statements - Statements with no origination fees - charge - monthly fees - annual fees - fees and charge payment,30,1 month,2020-10-01T02:18:27-08:00,0,100000,0,5000,5000
pp584 - partial payments through statements - Statements with no origination fees - charge - monthly fees - annual fees - annual fees and partial payment,31,1 month,2020-10-01T02:18:27-08:00,0,100000,0,5000,5000
pp585 - partial payments through statements - Statements with no origination fees - charge - monthly fees - annual fees - annual fees monthly fee and partial payment,32,1 month,2020-10-01T02:18:27-08:00,0,100000,0,5000,5000
pp586 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - annual fees only payment,33,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp587 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - monthly fee only payment,34,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp588 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - annual fees and charge payment,35,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp589 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,36,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp590 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - fees payment,37,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp591 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - monthly fees and annual fees payment,38,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp592 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - all fees and charge payment,39,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp593 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - all payments,40,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
pp594 - partial payments through statements - Statements with origination fees - charge - monthly fees - annual fees - pay fees and partial principal pay,41,1 month,2020-10-01T02:18:27-08:00,5000,100000,0,5000,5000
