tc_name,index,cycle_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents,stmt1_charge1_amount,stmt1_charge1_effective_dt,stmt1_charge2_amount,stmt1_charge2_effective_dt,stmt1_charges_principal_cents,stmt1_loans_principal_cents,stmt1_fees_balance_cents,stmt1_total_balance_cents,stmt2_charge1_amount,stmt2_charge1_effective_dt,stmt2_charge2_amount,stmt2_charge2_effective_dt,stmt2_charges_principal_cents,stmt2_loans_principal_cents,stmt2_fees_balance_cents,stmt2_total_balance_cents,stmt3_charge1_amount,stmt3_charge1_effective_dt,stmt3_charge2_amount,stmt3_charge2_effective_dt,stmt3_charges_principal_cents,stmt3_loans_principal_cents,stmt3_fees_balance_cents,stmt3_total_balance_cents,stmt4_charge1_amount,stmt4_charge1_effective_dt,stmt4_charge2_amount,stmt4_charge2_effective_dt,stmt4_charges_principal_cents,stmt4_loans_principal_cents,stmt4_fees_balance_cents,stmt4_total_balance_cents,stmt5_charge1_amount,stmt5_charge1_effective_dt,stmt5_charge2_amount,stmt5_charge2_effective_dt,stmt5_charges_principal_cents,stmt5_loans_principal_cents,stmt5_fees_balance_cents,stmt5_total_balance_cents,payment_amount,payment_effective_dt,stmt6_charges_principal_cents,stmt6_loans_principal_cents,stmt6_fees_balance_cents,stmt6_total_balance_cents
pp693 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - annual fees - annual fees and partial payment,17,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,0,120000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,0,140000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,1200,151200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,1200,161200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,1200,171200,51200,2021-03-10T08:20:34-08:00,20000,100000,0,120000
pp694 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - annual fees - annual fees only payment,18,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,10000,130000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,10000,150000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,11200,161200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,11200,171200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,11200,181200,1200,2021-03-10T08:20:34-08:00,70000,100000,10000,180000
pp695 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - annual fees - charge only payment,19,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,10000,130000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,10000,150000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,11200,161200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,11200,171200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,11200,181200,70000,2021-03-10T08:20:34-08:00,11200,100000,0,111200
pp696 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - annual fees - annual fees and charge payment,20,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,10000,130000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,10000,150000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,11200,161200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,11200,171200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,11200,181200,71200,2021-03-10T08:20:34-08:00,10000,100000,0,110000
pp697 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - annual fees - all payments,21,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,10000,130000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,10000,150000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,11200,161200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,11200,171200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,11200,181200,181700,2021-03-10T08:20:34-08:00,0,0,0,0
pp698 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - annual fees - pay fees and partial principal pay,22,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-15T08:20:34-08:00,8000,2020-10-30T08:20:34-08:00,20000,100000,10000,130000,10000,2020-11-15T08:20:34-08:00,10000,2020-11-30T08:20:34-08:00,40000,100000,10000,150000,5000,2020-12-15T08:20:34-08:00,5000,2020-12-30T08:20:34-08:00,50000,100000,11200,161200,8000,2021-01-15T08:20:34-08:00,2000,2021-01-30T08:20:34-08:00,60000,100000,11200,171200,4000,2021-02-15T08:20:34-08:00,6000,2021-02-20T08:20:34-08:00,70000,100000,11200,181200,111200,2021-03-10T08:20:34-08:00,0,70000,0,70000
pp699 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees only payment,23,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,500,18500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,1000,29000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,2700,40700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,3200,51200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,3700,61700,2500,2021-03-10T08:20:34-08:00,50000,8000,1700,59700
pp700 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - charge only payment,24,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,500,18500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,1000,29000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,2700,40700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,3200,51200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,3700,61700,50000,2021-03-10T08:20:34-08:00,3700,8000,500,12200
pp701 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,25,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,500,18500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,1000,29000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,2700,40700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,3200,51200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,3700,61700,52500,2021-03-10T08:20:34-08:00,1200,8000,500,9700
pp702 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - annual fees and charge payment,26,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,500,18500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,1000,29000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,2700,40700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,3200,51200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,3700,61700,51200,2021-03-10T08:20:34-08:00,2500,8000,500,11000
pp703 - Multiple charges through statements and payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - all fees and partial payment,27,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,500,18500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,1000,29000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,2700,40700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,3200,51200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,3700,61700,47700,2021-03-10T08:20:34-08:00,6000,8000,500,14500
pp704 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - monthly fees only payment,28,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,6500,24500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,7000,35000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,8700,46700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,9200,57200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,9700,67700,2500,2021-03-10T08:20:34-08:00,50000,8000,7700,65700
pp705 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - charge only payment,29,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,6500,24500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,7000,35000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,8700,46700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,9200,57200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,9700,67700,50000,2021-03-10T08:20:34-08:00,9700,8000,500,18200
pp706 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,30,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,6500,24500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,7000,35000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,8700,46700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,9200,57200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,9700,67700,52500,2021-03-10T08:20:34-08:00,7200,8000,500,15700
pp707 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - annual fees and charge payment,31,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,6500,24500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,7000,35000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,8700,46700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,9200,57200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,9700,67700,51200,2021-03-10T08:20:34-08:00,8500,8000,500,17000
pp708 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - all payments,32,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,6500,24500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,7000,35000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,8700,46700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,9200,57200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,9700,67700,67700,2021-03-10T08:20:34-08:00,0,0,500,500
pp709 - Multiple charges through statements and payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - pay fees and partial principal pay ,33,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-15T08:20:34-08:00,5000,2020-10-30T08:20:34-08:00,10000,8000,6500,24500,9000,2020-11-15T08:20:34-08:00,1000,2020-11-30T08:20:34-08:00,20000,8000,7000,35000,6000,2020-12-15T08:20:34-08:00,4000,2020-12-30T08:20:34-08:00,30000,8000,8700,46700,4000,2021-01-15T08:20:34-08:00,6000,2021-01-30T08:20:34-08:00,40000,8000,9200,57200,9000,2021-02-15T08:20:34-08:00,1000,2021-02-20T08:20:34-08:00,50000,8000,9700,67700,25700,2021-03-10T08:20:34-08:00,34000,8000,500,42500
