tc_name,index,cycle_interval,cycle_due_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents,stmt1_charge_amount,stmt1_charge_effective_dt,stmt1_charges_principal_cents,stmt1_loans_principal_cents,stmt1_fees_balance_cents,stmt1_total_balance_cents,stmt2_charge_amount,stmt2_charge_effective_dt,stmt2_charge_reversal_cents,stmt2_charge_reversal_effective_dt,payment_amount,payment_effective_dt,stmt2_charges_principal_cents,stmt2_loans_principal_cents,stmt2_fees_balance_cents,stmt2_total_balance_cents
pp737 - Charge reversal - Statements with origination fees - charge - annual fees - annual fees and charge payment,20,1 month,28 days,2020-12-01T08:20:34-08:00,10000,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,11200,124200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,14200,2021-01-20T08:20:34-08:00,10000,100000,0,110000
pp738 - Charge reversal - Statements with origination fees - charge - annual fees - all payments,21,1 month,28 days,2020-12-01T08:20:34-08:00,10000,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,11200,124200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,124200,2021-01-20T08:20:34-08:00,0,0,0,0
pp739 - Charge reversal - Statements with origination fees - charge - annual fees - pay fees and partial principal pay,22,1 month,28 days,2020-12-01T08:20:34-08:00,10000,100000,0,0,1200,13000,2020-12-05T08:20:34-08:00,13000,100000,11200,124200,7000,2021-01-15T08:20:34-08:00,7000,2021-01-16T08:20:34-08:00,54200,2021-01-20T08:20:34-08:00,0,70000,0,70000
pp740 - Charge reversal - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees only payment,23,1 month,28 days,2020-12-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,1700,14700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,500,2021-01-20T08:20:34-08:00,5000,8000,1700,14700
pp741 - Charge reversal - Statements with no origination fees - charge - monthly fees - annual fees - charge only payment,24,1 month,28 days,2020-12-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,1700,14700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,5000,2021-01-20T08:20:34-08:00,1700,8000,500,10200
pp742 - Charge reversal - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,25,1 month,28 days,2020-12-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,1700,14700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,5500,2021-01-20T08:20:34-08:00,1200,8000,500,9700
pp743 - Charge reversal - Statements with no origination fees - charge - monthly fees - annual fees - annual fees and charge payment,26,1 month,28 days,2020-12-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,1700,14700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,6200,2021-01-20T08:20:34-08:00,500,8000,500,9000
pp744 - Charge reversal - Statements with no origination fees - charge - monthly fees - annual fees - all fees and partial payment,27,1 month,28 days,2020-12-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,1700,14700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,4700,2021-01-20T08:20:34-08:00,2000,8000,500,10500
pp745 - Charge reversal - Statements with origination fees - charge - monthly fees - annual fees - monthly fees only payment,28,1 month,28 days,2020-12-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,7700,20700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,500,2021-01-20T08:20:34-08:00,5000,8000,7700,20700
pp746 - Charge reversal - Statements with origination fees - charge - monthly fees - annual fees - charge only payment,29,1 month,28 days,2020-12-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,7700,20700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,5000,2021-01-20T08:20:34-08:00,5000,8000,3200,16200
pp747 - Charge reversal - Statements with origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,30,1 month,28 days,2020-12-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,7700,20700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,5500,2021-01-20T08:20:34-08:00,5000,8000,2700,15700
pp748 - Charge reversal - Statements with origination fees - charge - monthly fees - annual fees - annual fees and charge payment,31,1 month,28 days,2020-12-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,7700,20700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,6200,2021-01-20T08:20:34-08:00,5000,8000,2000,15000
pp749 - Charge reversal - Statements with origination fees - charge - monthly fees - annual fees - all payments,32,1 month,28 days,2020-12-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,7700,20700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,20700,2021-01-20T08:20:34-08:00,0,0,500,500
pp750 - Charge reversal - Statements with origination fees - charge - monthly fees - annual fees - pay fees and partial principal pay ,33,1 month,28 days,2020-12-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-12-05T08:20:34-08:00,5000,8000,7700,20700,9000,2021-01-15T08:20:34-08:00,9000,2021-01-16T08:20:34-08:00,12700,2021-01-20T08:20:34-08:00,0,8000,500,8500
