tc_name,index,cycle_interval,account_effective_dt,origination_fee_cents,initial_principal_cents,late_fee_cents,monthly_fee_cents,annual_fee_cents,stmt1_charge_amount,stmt1_charge_effective_dt,stmt1_charges_principal_cents,stmt1_loans_principal_cents,stmt1_fees_balance_cents,stmt1_total_balance_cents,stmt2_charge_amount,stmt2_charge_effective_dt,stmt2_charges_principal_cents,stmt2_loans_principal_cents,stmt2_fees_balance_cents,stmt2_total_balance_cents,stmt3_charge_amount,stmt3_charge_effective_dt,stmt3_charges_principal_cents,stmt3_loans_principal_cents,stmt3_fees_balance_cents,stmt3_total_balance_cents,stmt4_charge_amount,stmt4_charge_effective_dt,stmt4_charges_principal_cents,stmt4_loans_principal_cents,stmt4_fees_balance_cents,stmt4_total_balance_cents,stmt5_charge_amount,stmt5_charge_effective_dt,stmt5_charges_principal_cents,stmt5_loans_principal_cents,stmt5_fees_balance_cents,stmt5_total_balance_cents,payment_amount,payment_effective_dt,stmt6_charges_principal_cents,stmt6_loans_principal_cents,stmt6_fees_balance_cents,stmt6_total_balance_cents
pp646 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - monthly fees and charge payment,11,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,6500,19500,8000,2021-04-08T02:18:27-08:00,13000,8000,7000,28000,6000,2021-05-14T02:18:27-08:00,19000,8000,7500,34500,4000,2021-06-12T02:18:27-08:00,23000,8000,8000,39000,9000,2021-07-12T02:18:27-08:00,32000,8000,8500,48500,34500,2021-08-04T02:18:27-08:00,6000,8000,500,14500
pp647 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - all payments,12,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,6500,19500,8000,2021-04-08T02:18:27-08:00,13000,8000,7000,28000,6000,2021-05-14T02:18:27-08:00,19000,8000,7500,34500,4000,2021-06-12T02:18:27-08:00,23000,8000,8000,39000,9000,2021-07-12T02:18:27-08:00,32000,8000,8500,48500,48500,2021-08-04T02:18:27-08:00,0,0,500,500
pp648 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - pay fees and partial principal pay,13,1 month,2021-03-01T02:18:27-08:00,6000,8000,0,500,0,5000,2021-03-10T02:18:27-08:00,5000,8000,6500,19500,8000,2021-04-08T02:18:27-08:00,13000,8000,7000,28000,6000,2021-05-14T02:18:27-08:00,19000,8000,7500,34500,4000,2021-06-12T02:18:27-08:00,23000,8000,8000,39000,9000,2021-07-12T02:18:27-08:00,32000,8000,8500,48500,28500,2021-08-04T02:18:27-08:00,12000,8000,500,20500
pp649 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - annual fees only payment,14,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,0,112000,10000,2020-11-15T08:20:34-08:00,22000,100000,0,122000,5000,2020-12-18T08:20:34-08:00,27000,100000,1200,128200,8000,2021-01-10T08:20:34-08:00,35000,100000,1200,136200,4000,2021-02-09T08:20:34-08:00,39000,100000,1200,140200,1200,2021-03-10T08:20:34-08:00,39000,100000,0,139000
pp650 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - charge only payment,15,1 month,2020-10-01T08:20:34-08:00,0,100000,0,0,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,0,112000,10000,2020-11-15T08:20:34-08:00,22000,100000,0,122000,5000,2020-12-18T08:20:34-08:00,27000,100000,1200,128200,8000,2021-01-10T08:20:34-08:00,35000,100000,1200,136200,4000,2021-02-09T08:20:34-08:00,39000,100000,1200,140200,39000,2021-03-10T08:20:34-08:00,1200,100000,0,101200
pp651 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - monthly fees and charge payment,16,1 month,2020-10-01T08:20:34-08:00,0,100000,0,500,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,500,112500,10000,2020-11-15T08:20:34-08:00,22000,100000,1000,123000,5000,2020-12-18T08:20:34-08:00,27000,100000,2700,129700,8000,2021-01-10T08:20:34-08:00,35000,100000,3200,138200,4000,2021-02-09T08:20:34-08:00,39000,100000,3700,142700,41500,2021-03-10T08:20:34-08:00,1200,100000,500,101700
pp652 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - annual fees - monthly fees and partial payment,17,1 month,2020-10-01T08:20:34-08:00,0,100000,0,500,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,500,112500,10000,2020-11-15T08:20:34-08:00,22000,100000,1000,123000,5000,2020-12-18T08:20:34-08:00,27000,100000,2700,129700,8000,2021-01-10T08:20:34-08:00,35000,100000,3200,138200,4000,2021-02-09T08:20:34-08:00,39000,100000,3700,142700,22500,2021-03-10T08:20:34-08:00,20200,100000,500,120700
pp653 - Charges - Payment at the end of last statement - Statements with origination fees - charge - annual fees - annual fees only payment,18,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,10000,122000,10000,2020-11-15T08:20:34-08:00,22000,100000,10000,132000,5000,2020-12-18T08:20:34-08:00,27000,100000,11200,138200,8000,2021-01-10T08:20:34-08:00,35000,100000,11200,146200,4000,2021-02-09T08:20:34-08:00,39000,100000,11200,150200,1200,2021-03-10T08:20:34-08:00,39000,100000,10000,149000
pp654 - Charges - Payment at the end of last statement - Statements with origination fees - charge - annual fees - charge only payment,19,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,10000,122000,10000,2020-11-15T08:20:34-08:00,22000,100000,10000,132000,5000,2020-12-18T08:20:34-08:00,27000,100000,11200,138200,8000,2021-01-10T08:20:34-08:00,35000,100000,11200,146200,4000,2021-02-09T08:20:34-08:00,39000,100000,11200,150200,39000,2021-03-10T08:20:34-08:00,11200,100000,0,111200
pp655 - Charges - Payment at the end of last statement - Statements with origination fees - charge - annual fees - annual fees and charge payment,20,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,10000,122000,10000,2020-11-15T08:20:34-08:00,22000,100000,10000,132000,5000,2020-12-18T08:20:34-08:00,27000,100000,11200,138200,8000,2021-01-10T08:20:34-08:00,35000,100000,11200,146200,4000,2021-02-09T08:20:34-08:00,39000,100000,11200,150200,40200,2021-03-10T08:20:34-08:00,10000,100000,0,110000
pp656 - Charges - Payment at the end of last statement - Statements with origination fees - charge - annual fees - all payments,21,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,10000,122000,10000,2020-11-15T08:20:34-08:00,22000,100000,10000,132000,5000,2020-12-18T08:20:34-08:00,27000,100000,11200,138200,8000,2021-01-10T08:20:34-08:00,35000,100000,11200,146200,4000,2021-02-09T08:20:34-08:00,39000,100000,11200,150200,150700,2021-03-10T08:20:34-08:00,0,0,0,0
pp657 - Charges - Payment at the end of last statement - Statements with origination fees - charge - annual fees - pay fees and partial principal pay,22,1 month,2020-10-01T08:20:34-08:00,10000,100000,0,0,1200,12000,2020-10-05T08:20:34-08:00,12000,100000,10000,122000,10000,2020-11-15T08:20:34-08:00,22000,100000,10000,132000,5000,2020-12-18T08:20:34-08:00,27000,100000,11200,138200,8000,2021-01-10T08:20:34-08:00,35000,100000,11200,146200,4000,2021-02-09T08:20:34-08:00,39000,100000,11200,150200,49000,2021-03-10T08:20:34-08:00,1200,100000,0,101200
pp658 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees only payment,23,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,500,13500,9000,2020-11-15T08:20:34-08:00,14000,8000,1000,23000,6000,2020-12-18T08:20:34-08:00,20000,8000,2700,30700,4000,2021-01-10T08:20:34-08:00,24000,8000,3200,35200,9000,2021-02-09T08:20:34-08:00,33000,8000,3700,44700,2500,2021-03-10T08:20:34-08:00,33000,8000,1700,42700
pp659 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - charge only payment,24,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,500,13500,9000,2020-11-15T08:20:34-08:00,14000,8000,1000,23000,6000,2020-12-18T08:20:34-08:00,20000,8000,2700,30700,4000,2021-01-10T08:20:34-08:00,24000,8000,3200,35200,9000,2021-02-09T08:20:34-08:00,33000,8000,3700,44700,33000,2021-03-10T08:20:34-08:00,3700,8000,500,12200
pp660 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,25,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,500,13500,9000,2020-11-15T08:20:34-08:00,14000,8000,1000,23000,6000,2020-12-18T08:20:34-08:00,20000,8000,2700,30700,4000,2021-01-10T08:20:34-08:00,24000,8000,3200,35200,9000,2021-02-09T08:20:34-08:00,33000,8000,3700,44700,35500,2021-03-10T08:20:34-08:00,1200,8000,500,9700
pp661 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - annual fees and charge payment,26,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,500,13500,9000,2020-11-15T08:20:34-08:00,14000,8000,1000,23000,6000,2020-12-18T08:20:34-08:00,20000,8000,2700,30700,4000,2021-01-10T08:20:34-08:00,24000,8000,3200,35200,9000,2021-02-09T08:20:34-08:00,33000,8000,3700,44700,34200,2021-03-10T08:20:34-08:00,2500,8000,500,11000
pp662 - Charges - Payment at the end of last statement - Statements with no origination fees - charge - monthly fees - annual fees - all fees and partial payment,27,1 month,2020-10-01T08:20:34-08:00,0,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,500,13500,9000,2020-11-15T08:20:34-08:00,14000,8000,1000,23000,6000,2020-12-18T08:20:34-08:00,20000,8000,2700,30700,4000,2021-01-10T08:20:34-08:00,24000,8000,3200,35200,9000,2021-02-09T08:20:34-08:00,33000,8000,3700,44700,40000,2021-03-10T08:20:34-08:00,0,4700,500,5200
pp663 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - monthly fees only payment,28,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,6500,19500,9000,2020-11-15T08:20:34-08:00,14000,8000,7000,29000,6000,2020-12-18T08:20:34-08:00,20000,8000,8700,36700,4000,2021-01-10T08:20:34-08:00,24000,8000,9200,41200,9000,2021-02-09T08:20:34-08:00,33000,8000,9700,50700,2500,2021-03-10T08:20:34-08:00,33000,8000,7700,48700
pp664 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - charge only payment,29,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,6500,19500,9000,2020-11-15T08:20:34-08:00,14000,8000,7000,29000,6000,2020-12-18T08:20:34-08:00,20000,8000,8700,36700,4000,2021-01-10T08:20:34-08:00,24000,8000,9200,41200,9000,2021-02-09T08:20:34-08:00,33000,8000,9700,50700,33000,2021-03-10T08:20:34-08:00,9700,8000,500,18200
pp665 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - monthly fees and charge payment,30,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,6500,19500,9000,2020-11-15T08:20:34-08:00,14000,8000,7000,29000,6000,2020-12-18T08:20:34-08:00,20000,8000,8700,36700,4000,2021-01-10T08:20:34-08:00,24000,8000,9200,41200,9000,2021-02-09T08:20:34-08:00,33000,8000,9700,50700,35500,2021-03-10T08:20:34-08:00,7200,8000,500,15700
pp666 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - annual fees and charge payment,31,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,6500,19500,9000,2020-11-15T08:20:34-08:00,14000,8000,7000,29000,6000,2020-12-18T08:20:34-08:00,20000,8000,8700,36700,4000,2021-01-10T08:20:34-08:00,24000,8000,9200,41200,9000,2021-02-09T08:20:34-08:00,33000,8000,9700,50700,34200,2021-03-10T08:20:34-08:00,8500,8000,500,17000
pp667 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - all payments,32,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,6500,19500,9000,2020-11-15T08:20:34-08:00,14000,8000,7000,29000,6000,2020-12-18T08:20:34-08:00,20000,8000,8700,36700,4000,2021-01-10T08:20:34-08:00,24000,8000,9200,41200,9000,2021-02-09T08:20:34-08:00,33000,8000,9700,50700,50700,2021-03-10T08:20:34-08:00,0,0,500,500
pp668 - Charges - Payment at the end of last statement - Statements with origination fees - charge - monthly fees - annual fees - pay fees and partial principal pay ,33,1 month,2020-10-01T08:20:34-08:00,6000,8000,0,500,1200,5000,2020-10-05T08:20:34-08:00,5000,8000,6500,19500,9000,2020-11-15T08:20:34-08:00,14000,8000,7000,29000,6000,2020-12-18T08:20:34-08:00,20000,8000,8700,36700,4000,2021-01-10T08:20:34-08:00,24000,8000,9200,41200,9000,2021-02-09T08:20:34-08:00,33000,8000,9700,50700,25700,2021-03-10T08:20:34-08:00,17000,8000,500,25500
