tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance
PP1351 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,103,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1351 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,104,getStatementID,,,,,,1,,,,,,
PP1351 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,105,validateStatement,,,,,,,installment,0,63,0,83576,83639
PP1352 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,106,payment,,2022-02-12T08:49:48+00:00,,30000,,,,,,,,
PP1352 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,107,validateLineItem,,,,30000,PAYMENT,,,,,,,
PP1352 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,108,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1352 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,109,getStatementID,,,,,,1,,,,,,
PP1352 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,110,validateStatement,,,,,,,installment,0,53,0,70076,70129
PP1353 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,111,payment,,2022-02-12T08:49:48+00:00,,100,,,,,,,,
PP1353 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,112,validateLineItem,,,,100,PAYMENT,,,,,,,
PP1353 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,113,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1353 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,114,getStatementID,,,,,,1,,,,,,
PP1353 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,115,validateStatement,,,,,,,installment,19900,152,0,100000,120052
PP1354 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,116,payment,,2022-02-12T08:49:48+00:00,,0,,,,,,,,
PP1354 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,117,validateLineItem,,,,0,PAYMENT,,,,,,,
PP1354 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,118,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1354 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,119,getStatementID,,,,,,1,,,,,,
PP1354 - PaymentPouring in Installment loan with the Cycle_Interval of 7 days,120,validateStatement,,,,,,,installment,23500,152,0,100000,123652
PP1355 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,121,payment,,2022-02-12T08:49:48+00:00,,20000,,,,,,,,
PP1355 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,122,validateLineItem,,,,20000,PAYMENT,,,,,,,
PP1355 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,123,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1355 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,124,getStatementID,,,,,,1,,,,,,
PP1355 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,125,validateStatement,,,,,,,credit,0,0,46,80057,80103
PP1356 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,126,payment,,2022-02-12T08:49:48+00:00,,50000,,,,,,,,
PP1356 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,127,validateLineItem,,,,50000,PAYMENT,,,,,,,
PP1356 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,128,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1356 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,129,getStatementID,,,,,,1,,,,,,
PP1356 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,130,validateStatement,,,,,,,credit,0,0,28,50057,50085
PP1357 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,131,payment,,2022-02-12T08:49:48+00:00,,15000,,,,,,,,
PP1357 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,132,validateLineItem,,,,15000,PAYMENT,,,,,,,
PP1357 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,133,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1357 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,134,getStatementID,,,,,,1,,,,,,
PP1357 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,135,validateStatement,,,,,,,revolving,0,0,48,85057,85105
PP1358 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,136,payment,,2022-02-12T08:49:48+00:00,,100,,,,,,,,
PP1358 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,137,validateLineItem,,,,100,PAYMENT,,,,,,,
PP1358 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,138,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1358 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,139,getStatementID,,,,,,1,,,,,,
PP1358 - PaymentPouring in Revolving card with the Cycle_Interval of 7 days,140,validateStatement,,,,,,,revolving,9900,0,114,100000,110014
PP1359 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,141,payment,,2022-02-12T08:49:48+00:00,,100000,,,,,,,,
PP1359 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,142,validateLineItem,,,,100000,PAYMENT,,,,,,,
PP1359 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,143,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1359 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,144,getStatementID,,,,,,1,,,,,,
PP1359 - PaymentPouring in Credit card with the Cycle_Interval of 7 days,145,validateStatement,,,,,,,credit,0,0,0,57,57
PP1360 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,146,payment,,2022-02-12T08:49:48+00:00,,100,,,,,,,,
PP1360 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,147,validateLineItem,,,,100,PAYMENT,,,,,,,
PP1360 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,148,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1360 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,149,getStatementID,,,,,,1,,,,,,
PP1360 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,150,validateStatement,,,,,,,charge,19900,0,114,100000,120014
PP1361 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,151,payment,,2022-02-12T08:49:48+00:00,,150000,,,,,,,,
PP1361 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,152,validateLineItem,,,,150000,PAYMENT,,,,,,,
PP1361 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,153,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1361 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,154,getStatementID,,,,,,1,,,,,,
PP1361 - PaymentPouring in Charge card with the Cycle_Interval of 7 days,155,validateStatement,,,,,,,charge,0,0,0,0,-29943
PP1362 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,156,payment,,2022-02-10T08:49:48+00:00,,56000,,,,,,,,
PP1362 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,157,validateLineItem,,,,56000,PAYMENT,,,,,,,
PP1362 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,158,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1362 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,159,getStatementID,,,,,,1,,,,,,
PP1362 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,160,validateStatement,,,,,,,installment,0,1530,0,500000,501530
PP1363 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,161,payment,,2022-02-10T08:49:48+00:00,,11800,,,,,,,,
PP1363 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,162,validateLineItem,,,,11800,PAYMENT,,,,,,,
PP1363 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,163,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1363 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,164,getStatementID,,,,,,1,,,,,,
PP1363 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,165,validateStatement,,,,,,,installment,0,1530,0,500000,501530
PP1364 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,166,payment,,2022-02-10T08:49:48+00:00,,10800,,,,,,,,
PP1364 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,167,validateLineItem,,,,10800,PAYMENT,,,,,,,
PP1364 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,168,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1364 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,169,getStatementID,,,,,,1,,,,,,
PP1364 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,170,validateStatement,,,,,,,installment,45000,1530,0,500000,546530
PP1365 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,171,payment,,2022-02-10T08:49:48+00:00,,100000,,,,,,,,
PP1365 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,172,validateLineItem,,,,100000,PAYMENT,,,,,,,
PP1365 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,173,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1365 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,174,getStatementID,,,,,,1,,,,,,
PP1365 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,175,validateStatement,,,,,,,installment,0,613,0,400765,401378
PP1366 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,176,payment,,2022-02-10T08:49:48+00:00,,100,,,,,,,,
PP1366 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,177,validateLineItem,,,,100,PAYMENT,,,,,,,
PP1366 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,178,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1366 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,179,getStatementID,,,,,,1,,,,,,
PP1366 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,180,validateStatement,,,,,,,installment,0,1430,0,500000,501430
PP1367 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,181,payment,,2022-02-10T08:49:48+00:00,,100,,,,,,,,
PP1367 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,182,validateLineItem,,,,100,PAYMENT,,,,,,,
PP1367 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,183,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1367 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,184,getStatementID,,,,,,1,,,,,,
PP1367 - PaymentPouring in Installment loan with the Cycle_Interval of 14 days,185,validateStatement,,,,,,,installment,61700,1530,0,500000,563230
PP1368 - PaymentPouring in credit card with the Cycle_Interval of 14 days,186,payment,,2022-02-10T08:49:48+00:00,,6000,,,,,,,,
PP1368 - PaymentPouring in credit card with the Cycle_Interval of 14 days,187,validateLineItem,,,,6000,PAYMENT,,,,,,,
PP1368 - PaymentPouring in credit card with the Cycle_Interval of 14 days,188,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1368 - PaymentPouring in credit card with the Cycle_Interval of 14 days,189,getStatementID,,,,,,1,,,,,,
PP1368 - PaymentPouring in credit card with the Cycle_Interval of 14 days,190,validateStatement,,,,,,,credit,0,0,1150,500000,501150
PP1369 - PaymentPouring in credit card with the Cycle_Interval of 14 days,191,payment,,2022-02-10T08:49:48+00:00,,100000,,,,,,,,
PP1369 - PaymentPouring in credit card with the Cycle_Interval of 14 days,192,validateLineItem,,,,100000,PAYMENT,,,,,,,
PP1369 - PaymentPouring in credit card with the Cycle_Interval of 14 days,193,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1369 - PaymentPouring in credit card with the Cycle_Interval of 14 days,194,getStatementID,,,,,,1,,,,,,
PP1369 - PaymentPouring in credit card with the Cycle_Interval of 14 days,195,validateStatement,,,,,,,credit,0,0,460,400575,401035
PP1370 - PaymentPouring in credit card with the Cycle_Interval of 14 days,196,payment,,2022-02-10T08:49:48+00:00,,100,,,,,,,,
PP1370 - PaymentPouring in credit card with the Cycle_Interval of 14 days,197,validateLineItem,,,,100,PAYMENT,,,,,,,
PP1370 - PaymentPouring in credit card with the Cycle_Interval of 14 days,198,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1370 - PaymentPouring in credit card with the Cycle_Interval of 14 days,199,getStatementID,,,,,,1,,,,,,
PP1370 - PaymentPouring in credit card with the Cycle_Interval of 14 days,200,validateStatement,,,,,,,credit,25900,0,1150,500000,527050
PP1371 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,201,payment,,2022-02-10T08:49:48+00:00,,6000,,,,,,,,
PP1371 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,202,validateLineItem,,,,6000,PAYMENT,,,,,,,
PP1371 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,203,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1371 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,204,getStatementID,,,,,,1,,,,,,
PP1371 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,205,validateStatement,,,,,,,revolving,0,0,1150,500000,501150
PP1372 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,206,payment,,2022-02-10T08:49:48+00:00,,6000,,,,,,,,
PP1372 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,207,validateLineItem,,,,6000,PAYMENT,,,,,,,
PP1372 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,208,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1372 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,209,getStatementID,,,,,,1,,,,,,
PP1372 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,210,validateStatement,,,,,,,revolving,0,0,1150,500000,501150
PP1373 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,211,payment,,2022-02-10T08:49:48+00:00,,100000,,,,,,,,
PP1373 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,212,validateLineItem,,,,100000,PAYMENT,,,,,,,
PP1373 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,213,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1373 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,214,getStatementID,,,,,,1,,,,,,
PP1373 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,215,validateStatement,,,,,,,revolving,0,0,460,400575,401035
PP1374 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,216,payment,,2022-02-10T08:49:48+00:00,,100,,,,,,,,
PP1374 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,217,validateLineItem,,,,100,PAYMENT,,,,,,,
PP1374 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,218,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1374 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,219,getStatementID,,,,,,1,,,,,,
PP1374 - PaymentPouring in Revolving card with the Cycle_Interval of 14 days,220,validateStatement,,,,,,,revolving,25900,0,1150,500000,527050
PP1375 - PaymentPouring in charge card with the Cycle_Interval of 14 days,221,payment,,2022-02-10T08:49:48+00:00,,5000,,,,,,,,
PP1375 - PaymentPouring in charge card with the Cycle_Interval of 14 days,222,validateLineItem,,,,5000,PAYMENT,,,,,,,
PP1375 - PaymentPouring in charge card with the Cycle_Interval of 14 days,223,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
PP1375 - PaymentPouring in charge card with the Cycle_Interval of 14 days,224,getStatementID,,,,,,1,,,,,,
PP1375 - PaymentPouring in charge card with the Cycle_Interval of 14 days,225,validateStatement,,,,,,,charge,1000,0,1150,500000,502150
PP1376 - PaymentPouring in charge card with the Cycle_Interval of 14 days,226,payment,,2022-02-10T08:49:48+00:00,,20000,,,,,,,,
PP1376 - PaymentPouring in charge card with the Cycle_Interval of 14 days,227,validateLineItem,,,,20000,PAYMENT,,,,,,,
PP1376 - PaymentPouring in charge card with the Cycle_Interval of 14 days,228,rollTimeForward,2022-02-16T08:49:48+00:00,,,,,,,,,,,
