tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,allocation,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,available_credit_cents,deferred_interest_balance_cents
PP2622 - Verify the processing of Debit offset for fee balance bucket in a Revolving account,40,validateAccountSummary,,,,,,,,,18450,0,0,170000,188450,,0
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,41,charge,,-4,,500000,,,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,42,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,43,charge,,-4,,2500000,,,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,44,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,45,rollTimeForward,6,,,,,,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,46,validateAccountSummary,,,,,,,,,20000,0,0,4000000,4020000,,0
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,47,debitOffset,,0,,100000,,PRINCIPAL,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,48,validateLineItem,,,,100000,DEBIT_OFFSET,,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,49,rollTimeForward,12,,,,,,,,,,,,,,
PP2623 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,50,validateAccountSummary,,,,,,,,,20000,0,0,3900000,3920000,,0
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,51,charge,,-4,,500000,,,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,52,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,53,charge,,-4,,2500000,,,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,54,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,55,rollTimeForward,6,,,,,,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,56,validateAccountSummary,,,,,,,,,20000,0,0,4000000,4020000,,0
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,57,debitOffset,,0,,10000,,FEE,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,58,validateLineItem,,,,10000,DEBIT_OFFSET,,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,59,rollTimeForward,12,,,,,,,,,,,,,,
PP2624 - Verify the processing of Debit offset for fee balance bucket in a Multi advance account,60,validateAccountSummary,,,,,,,,,10000,0,0,4000000,4010000,,0
PP2625 - Verify the processing of Credit offset for interest balance bucket in an Installment account,61,rollTimeForward,-5,,,,,,,,,,,,,,
PP2625 - Verify the processing of Credit offset for interest balance bucket in an Installment account,62,validateAccountSummary,,,,,,,,,20000,4794,4794,5000000,5024794,,0
PP2625 - Verify the processing of Credit offset for interest balance bucket in an Installment account,63,creditOffset,,-4,,2000,,INTEREST,,,,,,,,,
PP2625 - Verify the processing of Credit offset for interest balance bucket in an Installment account,64,validateLineItem,,,,-2000,CREDIT_OFFSET_INTEREST,,,,,,,,,,
PP2625 - Verify the processing of Credit offset for interest balance bucket in an Installment account,65,rollTimeForward,1,,,,,,,,,,,,,,
PP2625 - Verify the processing of Credit offset for interest balance bucket in an Installment account,66,validateAccountSummary,,,,,,,,,20000,11588,11588,5000000,5031588,,0
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,67,charge,,-13,,50000,,,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,68,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,69,charge,,-12,,20000,,,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,70,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,71,rollTimeForward,-5,,,,,,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,72,validateAccountSummary,,,,,,,,,20000,1984,1984,2070000,2091984,,0
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,73,debitOffset,,-4,,1550,,INTEREST,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,74,validateLineItem,,,,1550,DEBIT_OFFSET,,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,75,rollTimeForward,3,,,,,,,,,,,,,,
PP2626 - Verify the processing of Debit offset for Interest balance bucket in a Revolving account,76,validateAccountSummary,,,,,,,,,20000,2418,2418,2070000,2092418,,0
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,77,charge,,-14,,500000,,,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,78,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,79,charge,,-13,,2500000,,,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,80,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,81,rollTimeForward,-5,,,,,,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,82,validateAccountSummary,,,,,,,,,20000,16301,16301,17000000,17036301,,0
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,83,debitOffset,,0,,10000,,INTEREST,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,84,validateLineItem,,,,10000,DEBIT_OFFSET,,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,85,rollTimeForward,3,,,,,,,,,,,,,,
PP2627 - Verify the processing of Debit offset for Interest balance bucket in a Multi Advance account,86,validateAccountSummary,,,,,,,,,20000,22602,22602,17000000,17042602,,0
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,87,charge,,-4,,50000,,,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,88,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,89,charge,,-4,,20000,,,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,90,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,91,rollTimeForward,6,,,,,,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,92,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,93,debitOffset,,0,,2000,,PRINCIPAL,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,94,validateLineItem,,,,2000,DEBIT_OFFSET,,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,95,rollTimeForward,12,,,,,,,,,,,,,,
PP2628 - Verify the processing of Debit offset for principal balance bucket in an Installment account,96,validateAccountSummary,,,,,,,,,20000,0,0,168000,188000,,0
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,97,charge,,-4,,50000,,,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,98,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,99,charge,,-4,,20000,,,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,100,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,101,rollTimeForward,6,,,,,,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,102,validateAccountSummary,,,,,,,,,20000,0,0,170000,190000,,0
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,103,debitOffset,,0,,1000,,FEE,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,104,validateLineItem,,,,1000,DEBIT_OFFSET,,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,105,rollTimeForward,12,,,,,,,,,,,,,,
PP2629 - Verify the processing of Debit offset for fee balance bucket in an Installment account,106,validateAccountSummary,,,,,,,,,19000,0,0,170000,189000,,0
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,107,charge,,-4,,50000,,,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,108,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,109,charge,,-4,,20000,,,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,110,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,111,rollTimeForward,6,,,,,,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,112,getStatementID,,,,,,,0,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,113,validateStatement,,,,,,,,installment,20000,0,0,170000,190000,130000,0
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,114,creditOffset,,0,,2000,,delete,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,115,validateLineItem,,,,-2000,CREDIT_OFFSET,,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,116,rollTimeForward,12,,,,,,,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,117,getStatementID,,,,,,,1,,,,,,,,
PP2630 - Verify the processing in Statements of Credit offset for Principal balance bucket in an Installment account,118,validateStatement,,,,,,,,installment,20000,0,0,172000,192000,130000,0
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,119,charge,,-4,,50000,,,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,120,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,121,charge,,-4,,20000,,,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,122,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,123,rollTimeForward,6,,,,,,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,124,getStatementID,,,,,,,0,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,125,validateStatement,,,,,,,,installment,20000,0,0,170000,190000,130000,0
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,126,creditOffset,,0,,1000,,FEE,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,127,validateLineItem,,,,-1000,CREDIT_OFFSET_FEE,,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,128,rollTimeForward,12,,,,,,,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,129,getStatementID,,,,,,,1,,,,,,,,
PP2631 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,130,validateStatement,,,,,,,,installment,21000,0,0,170000,191000,130000,0
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,131,charge,,-4,,50000,,,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,132,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,133,charge,,-4,,20000,,,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,134,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,135,rollTimeForward,6,,,,,,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,136,getStatementID,,,,,,,0,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,137,validateStatement,,,,,,,,revolving,20000,0,0,170000,190000,130000,0
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,138,debitOffset,,0,,3000,,PRINCIPAL,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,139,validateLineItem,,,,3000,DEBIT_OFFSET,,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,140,rollTimeForward,12,,,,,,,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,141,getStatementID,,,,,,,1,,,,,,,,
PP2632 - Verify the processing in Statements of Debit offset for principal balance bucket in a Revolving account,142,validateStatement,,,,,,,,revolving,20000,0,0,167000,187000,133000,0
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,143,charge,,-4,,50000,,,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,144,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,145,charge,,-4,,20000,,,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,146,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,147,rollTimeForward,6,,,,,,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,148,getStatementID,,,,,,,0,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,149,validateStatement,,,,,,,,installment,20000,0,0,170000,190000,130000,0
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,150,debitOffset,,0,,1550,,FEE,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,151,validateLineItem,,,,1550,DEBIT_OFFSET,,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,152,rollTimeForward,12,,,,,,,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,153,getStatementID,,,,,,,1,,,,,,,,
PP2633 - Verify the processing in Statements of Debit offset for fee balance bucket in a Revolving account,154,validateStatement,,,,,,,,revolving,18450,0,0,170000,188450,130000,0
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,155,charge,,-4,,500000,,,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,156,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,157,charge,,-4,,2500000,,,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,158,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,159,rollTimeForward,6,,,,,,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,160,getStatementID,,,,,,,0,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,161,validateStatement,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000,0
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,162,debitOffset,,0,,100000,,PRINCIPAL,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,163,validateLineItem,,,,100000,DEBIT_OFFSET,,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,164,rollTimeForward,12,,,,,,,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,165,getStatementID,,,,,,,1,,,,,,,,
PP2634 - Verify the processing in Statements of Debit offset for principal balance bucket in a Multi advance account,166,validateStatement,,,,,,,,Multi_Adv,20000,0,0,3900000,3920000,1100000,0
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,167,charge,,-4,,500000,,,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,168,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,169,charge,,-4,,2500000,,,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,170,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,171,rollTimeForward,6,,,,,,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,172,getStatementID,,,,,,,0,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,173,validateStatement,,,,,,,,Multi_Adv,20000,0,0,4000000,4020000,1000000,0
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,174,debitOffset,,0,,10000,,FEE,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,175,validateLineItem,,,,10000,DEBIT_OFFSET,,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,176,rollTimeForward,12,,,,,,,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,177,getStatementID,,,,,,,1,,,,,,,,
PP2635 - Verify the processing in Statements of Debit offset for fee balance bucket in a Multi advance account,178,validateStatement,,,,,,,,Multi_Adv,10000,0,0,4000000,4010000,1000000,0
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,179,rollTimeForward,-5,,,,,,,,,,,,,,
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,180,getStatementID,,,,,,,0,,,,,,,,
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,181,validateStatement,,,,,,,,installment,20000,4794,4794,5000000,5024794,1000000,0
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,182,creditOffset,,-4,,2000,,INTEREST,,,,,,,,,
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,183,validateLineItem,,,,-2000,CREDIT_OFFSET_INTEREST,,,,,,,,,,
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,184,rollTimeForward,3,,,,,,,,,,,,,,
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,185,getStatementID,,,,,,,1,,,,,,,,
PP2636 - Verify the processing in Statements of Credit offset for interest balance bucket in an Installment account,186,validateStatement,,,,,,,,installment,20000,11588,11588,5000000,5031588,1000000,0
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,187,charge,,-13,,50000,,,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,188,validateLineItem,,,,-50000,CHARGE,,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,189,charge,,-12,,20000,,,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,190,validateLineItem,,,,-20000,CHARGE,,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,191,rollTimeForward,-5,,,,,,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,192,getStatementID,,,,,,,0,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,193,validateStatement,,,,,,,,revolving,20000,1984,1984,2070000,2091984,2930000,0
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,194,debitOffset,,-4,,1550,,INTEREST,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,195,validateLineItem,,,,1550,DEBIT_OFFSET,,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,196,rollTimeForward,3,,,,,,,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,197,getStatementID,,,,,,,1,,,,,,,,
PP2637 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Revolving account,198,validateStatement,,,,,,,,revolving,20000,2418,2418,2070000,2092418,2930000,0
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,199,charge,,-14,,500000,,,,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,200,validateLineItem,,,,-500000,CHARGE,,,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,201,charge,,-13,,2500000,,,,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,202,validateLineItem,,,,-2500000,CHARGE,,,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,203,rollTimeForward,-5,,,,,,,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,204,getStatementID,,,,,,,0,,,,,,,,
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,205,validateStatement,,,,,,,,Multi_Adv,20000,16301,16301,17000000,17036301,0,0
PP2638 - Verify the processing in Statements of Debit offset for Interest balance bucket in a Multi Advance account,206,debitOffset,,0,,10000,,INTEREST,,,,,,,,,
