tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,available_credit_cents
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,24,getStatementID,,,,,,1,,,,,,,
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,25,validateStatement,,,,,,,installment,20000,0,0,100000,120000,300000
PP115 - First cycle Payment in a new account reversed this account charged with Origination fees unpaid  no interest accrued,26,validateAccountSummary,,,,,,,,20000,0,0,100000,120000,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,27,payment,,-2,,20000,,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,28,validateLineItem,,,,20000,PAYMENT,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,29,payment,,0,,100000,,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,30,validateLineItem,,,,100000,PAYMENT,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,31,rollTimeForward,7,,,,,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,32,getStatementID,,,,,,0,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,33,validateStatement,,,,,,,installment,0,0,,0,0,300000
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,34,validateAccountSummary,,,,,,,,0,0,,0,0,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,35,paymentReversal,0,,,,,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,36,rollTimeForward,12,,,,,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,37,validateLineItem,,,,-100000,PAYMENT_REVERSAL,,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,38,getStatementID,,,,,,1,,,,,,,
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,39,validateStatement,,,,,,,installment,0,0,0,100000,100000,300000
PP116 - Regular installment payments-Payment reversed subsequently-account with Origination fees but fees paid separately,40,validateAccountSummary,,,,,,,,0,0,0,100000,100000,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,41,payment,,-3,,10000,,,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,42,validateLineItem,,,,10000,PAYMENT,,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,43,rollTimeForward,2,,,,,,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,44,getStatementID,,,,,,0,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,45,validateStatement,,,,,,,revolving,10000,0,0,100000,110000,200000
PP117 - Regular Minimum card payments done and Payment reversed subsequently,46,validateAccountSummary,,,,,,,,13500,0,0,100000,113500,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,47,paymentReversal,0,,,,,,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,48,rollTimeForward,7,,,,,,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,49,validateLineItem,,,,-10000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,50,getStatementID,,,,,,1,,,,,,,
PP117 - Regular Minimum card payments done and Payment reversed subsequently,51,validateStatement,,,,,,,revolving,23500,0,0,100000,123500,300000
PP117 - Regular Minimum card payments done and Payment reversed subsequently,52,validateAccountSummary,,,,,,,,23500,0,0,100000,123500,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,53,payment,,-3,,5000,,,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,54,validateLineItem,,,,5000,PAYMENT,,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,55,rollTimeForward,2,,,,,,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,56,getStatementID,,,,,,0,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,57,validateStatement,,,,,,,revolving,15000,0,0,100000,115000,200000
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,58,validateAccountSummary,,,,,,,,15000,0,0,100000,115000,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,59,paymentReversal,0,,,,,,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,60,rollTimeForward,7,,,,,,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,61,validateLineItem,,,,-5000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,62,getStatementID,,,,,,1,,,,,,,
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,63,validateStatement,,,,,,,revolving,20000,0,0,100000,120000,300000
PP118 - Regular Minimum card payments-Payment reversed account with Fees unpaid,64,validateAccountSummary,,,,,,,,20000,0,0,100000,120000,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,65,payment,,-20,,24000,,,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,66,validateLineItem,,,,24000,PAYMENT,,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,67,rollTimeForward,15,,,,,,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,68,getStatementID,,,,,,14,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,69,validateStatement,,,,,,,revolving,68000,0,0,100000,168000,200000
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,70,validateAccountSummary,,,,,,,,72500,0,0,100000,172500,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,71,paymentReversal,0,,,,,,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,72,rollTimeForward,35,,,,,,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,73,validateLineItem,,,,-24000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,74,getStatementID,,,,,,15,,,,,,,
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,75,validateStatement,,,,,,,revolving,46500,0,0,100000,140000,300000
PP119 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,76,validateAccountSummary,,,,,,,,100000,0,0,100000,200000,
PP120 - Payment  Reversed on Revolving account with fees,77,payment,,-3,,120000,,,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,78,validateLineItem,,,,120000,PAYMENT,,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,79,rollTimeForward,2,,,,,,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,80,getStatementID,,,,,,0,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,81,validateStatement,,,,,,,revolving,0,0,0,0,0,300000
PP120 - Payment  Reversed on Revolving account with fees,82,validateAccountSummary,,,,,,,,0,0,0,0,0,
PP120 - Payment  Reversed on Revolving account with fees,83,paymentReversal,0,,,,,,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,84,rollTimeForward,7,,,,,,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,85,validateLineItem,,,,-100000,PAYMENT_REVERSAL,,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,86,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,87,getStatementID,,,,,,1,,,,,,,
PP120 - Payment  Reversed on Revolving account with fees,88,validateStatement,,,,,,,revolving,20000,0,0,100000,120000,300000
PP120 - Payment  Reversed on Revolving account with fees,89,validateAccountSummary,,,,,,,,20000,0,0,100000,120000,
PP121 - Full loan amount repayment reversed-Installment loan,90,payment,,-9,,120000,,,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,91,validateLineItem,,,,120000,PAYMENT,,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,92,rollTimeForward,2,,,,,,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,93,getStatementID,,,,,,0,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,94,validateStatement,,,,,,,installment,0,0,0,0,0,300000
PP121 - Full loan amount repayment reversed-Installment loan,95,validateAccountSummary,,,,,,,,0,0,0,0,0,
PP121 - Full loan amount repayment reversed-Installment loan,96,paymentReversal,0,,,,,,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,97,rollTimeForward,7,,,,,,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,98,validateLineItem,,,,-100000,PAYMENT_REVERSAL,,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,99,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,100,getStatementID,,,,,,1,,,,,,,
PP121 - Full loan amount repayment reversed-Installment loan,101,validateStatement,,,,,,,installment,20000,0,0,100000,120000,300000
PP121 - Full loan amount repayment reversed-Installment loan,102,validateAccountSummary,,,,,,,,20000,0,0,100000,120000,
PP122 - Full loan amount repayment reversed using Charge card,103,payment,,0,,120000,,,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,104,validateLineItem,,,,120000,PAYMENT,,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,105,rollTimeForward,7,,,,,,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,106,getStatementID,,,,,,0,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,107,validateStatement,,,,,,,charge,0,0,0,0,0,300000
PP122 - Full loan amount repayment reversed using Charge card,108,validateAccountSummary,,,,,,,,0,0,0,0,0,
PP122 - Full loan amount repayment reversed using Charge card,109,paymentReversal,0,,,,,,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,110,rollTimeForward,12,,,,,,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,111,validateLineItem,,,,-100000,PAYMENT_REVERSAL,,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,112,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,113,getStatementID,,,,,,1,,,,,,,
PP122 - Full loan amount repayment reversed using Charge card,114,validateStatement,,,,,,,charge,20000,0,0,100000,120000,200000
PP122 - Full loan amount repayment reversed using Charge card,115,validateAccountSummary,,,,,,,,20000,0,0,100000,120000,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,116,payment,,-5,,10000,,,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,117,validateLineItem,,,,10000,PAYMENT,,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,118,rollTimeForward,2,,,,,,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,119,getStatementID,,,,,,0,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,120,validateStatement,,,,,,,charge,10000,0,0,100000,110000,200000
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,121,validateAccountSummary,,,,,,,,10000,0,0,100000,110000,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,122,paymentReversal,0,,,,,,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,123,rollTimeForward,7,,,,,,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,124,validateLineItem,,,,-10000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,125,getStatementID,,,,,,1,,,,,,,
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,126,validateStatement,,,,,,,charge,20000,0,0,100000,120000,300000
PP1422 - Minimum card payments done using Charge card and Payment reversed subsequently,127,validateAccountSummary,,,,,,,,23500,0,0,100000,123500,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,128,payment,,-3,,10000,,,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,129,validateLineItem,,,,10000,PAYMENT,,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,130,rollTimeForward,2,,,,,,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,131,getStatementID,,,,,,0,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,132,validateStatement,,,,,,,charge,10000,0,0,100000,110000,200000
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,133,validateAccountSummary,,,,,,,,10000,0,0,100000,110000,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,134,paymentReversal,0,,,,,,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,135,rollTimeForward,7,,,,,,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,136,validateLineItem,,,,-10000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,137,getStatementID,,,,,,1,,,,,,,
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,138,validateStatement,,,,,,,charge,20000,0,0,100000,120000,300000
PP1423 - Minimum card payments done before grace period using charge card and Payment reversed subsequently,139,validateAccountSummary,,,,,,,,23500,0,0,100000,123500,
PP1424 - Full loan amount repayment reversed using Credit card,140,payment,,0,,120000,,,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,141,validateLineItem,,,,120000,PAYMENT,,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,142,rollTimeForward,7,,,,,,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,143,getStatementID,,,,,,0,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,144,validateStatement,,,,,,,credit,0,0,0,0,0,300000
PP1424 - Full loan amount repayment reversed using Credit card,145,validateAccountSummary,,,,,,,,0,0,0,0,0,
PP1424 - Full loan amount repayment reversed using Credit card,146,paymentReversal,,0,,,,,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,147,rollTimeForward,12,,,,,,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,148,validateLineItem,,,,-100000,PAYMENT_REVERSAL,,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,149,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,150,getStatementID,,,,,,1,,,,,,,
PP1424 - Full loan amount repayment reversed using Credit card,151,validateStatement,,,,,,,credit,20000,0,0,100000,120000,300000
PP1424 - Full loan amount repayment reversed using Credit card,152,validateAccountSummary,,,,,,,,20000,0,0,100000,120000,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,153,payment,,-5,,10000,,,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,154,validateLineItem,,,,10000,PAYMENT,,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,155,rollTimeForward,2,,,,,,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,156,getStatementID,,,,,,0,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,157,validateStatement,,,,,,,credit,10000,0,0,100000,110000,200000
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,158,validateAccountSummary,,,,,,,,13500,0,0,100000,113500,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,159,paymentReversal,,0,,,,,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,160,rollTimeForward,7,,,,,,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,161,validateLineItem,,,,-10000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,162,getStatementID,,,,,,1,,,,,,,
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,163,validateStatement,,,,,,,credit,20000,0,0,100000,120000,300000
PP1425 - Minimum card payments done using Credit card and Payment reversed subsequently,164,validateAccountSummary,,,,,,,,23500,0,0,100000,123500,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,165,payment,,-3,,10000,,,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,166,validateLineItem,,,,10000,PAYMENT,,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,167,rollTimeForward,2,,,,,,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,168,getStatementID,,,,,,0,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,169,validateStatement,,,,,,,credit,10000,0,0,100000,110000,200000
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,170,validateAccountSummary,,,,,,,,13500,0,0,100000,113500,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,171,paymentReversal,,0,,,,,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,172,rollTimeForward,7,,,,,,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,173,validateLineItem,,,,-10000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,174,getStatementID,,,,,,1,,,,,,,
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,175,validateStatement,,,,,,,credit,20000,0,0,100000,120000,300000
PP1426 - Minimum card payments done before grace period using credit cards and Payment reversed subsequently,176,validateAccountSummary,,,,,,,,23500,0,0,100000,123500,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,177,payment,,-40,,24000,,,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,178,validateLineItem,,,,24000,PAYMENT,,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,179,rollTimeForward,15,,,,,,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,180,getStatementID,,,,,,14,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,181,validateStatement,,,,,,,credit,68000,0,0,100000,168000,200000
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,182,validateAccountSummary,,,,,,,,72500,0,0,100000,172500,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,183,paymentReversal,,0,,,,,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,184,rollTimeForward,60,,,,,,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,185,validateLineItem,,,,-24000,PAYMENT_REVERSAL_FEE,,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,186,getStatementID,,,,,,15,,,,,,,
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,187,validateStatement,,,,,,,credit,46500,0,0,100000,140000,300000
PP1427 - Payment Reversed on an account where fees has been levied-Originating Fees and Annual Fees,188,validateAccountSummary,,,,,,,,104500,0,0,100000,204500,
