account_tc_id,tc_name,index,cycle_number,exp_cycle_exclusive_end,exp_min_pay_due_at
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - ninth cycle billing cycle type details,57,9,2022-03-21T,2022-03-26T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - tenth cycle billing cycle type details,58,10,2022-04-04T,2022-04-09T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - eleventh cycle billing cycle type details,59,11,2022-04-18T,2022-04-23T
TC2051 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 0 days,DD_10 - twelfth cycle billing cycle type details,60,12,2022-05-02T,2022-05-07T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - first cycle billing cycle type details,61,1,2021-11-29T,2021-12-11T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - second cycle billing cycle type details,62,2,2021-12-13T,2021-12-25T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - third cycle billing cycle type details,63,3,2021-12-27T,2022-01-08T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - fourth cycle billing cycle type details,64,4,2022-01-10T,2022-01-22T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - fifth cycle billing cycle type details,65,5,2022-01-24T,2022-02-05T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - sixth cycle billing cycle type details,66,6,2022-02-07T,2022-02-19T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - seventh cycle billing cycle type details,67,7,2022-02-21T,2022-03-05T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - eighth cycle billing cycle type details,68,8,2022-03-07T,2022-03-19T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - ninth cycle billing cycle type details,69,9,2022-03-21T,2022-04-02T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - tenth cycle billing cycle type details,70,10,2022-04-04T,2022-04-16T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - eleventh cycle billing cycle type details,71,11,2022-04-18T,2022-04-30T
TC2052 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval -2 days first cycle 0 days,DD_11 - twelfth cycle billing cycle type details,72,12,2022-05-02T,2022-05-14T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - first cycle billing cycle type details,73,1,2021-12-11T,2021-12-13T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - second cycle billing cycle type details,74,2,2021-12-25T,2021-12-27T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - third cycle billing cycle type details,75,3,2022-01-08T,2022-01-10T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - fourth cycle billing cycle type details,76,4,2022-01-22T,2022-01-24T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - fifth cycle billing cycle type details,77,5,2022-02-05T,2022-02-07T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - sixth cycle billing cycle type details,78,6,2022-02-19T,2022-02-21T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - seventh cycle billing cycle type details,79,7,2022-03-05T,2022-03-07T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - eighth cycle billing cycle type details,80,8,2022-03-19T,2022-03-21T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - ninth cycle billing cycle type details,81,9,2022-04-02T,2022-04-04T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - tenth cycle billing cycle type details,82,10,2022-04-16T,2022-04-18T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - eleventh cycle billing cycle type details,83,11,2022-04-30T,2022-05-02T
TC2053 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 12 days,DD_12 - twelfth cycle billing cycle type details,84,12,2022-05-14T,2022-05-16T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - first cycle billing cycle type details,85,1,2021-12-15T,2021-12-20T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - second cycle billing cycle type details,86,2,2021-12-29T,2022-01-03T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - third cycle billing cycle type details,87,3,2022-01-12T,2022-01-17T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - fourth cycle billing cycle type details,88,4,2022-01-26T,2022-01-31T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - fifth cycle billing cycle type details,89,5,2022-02-09T,2022-02-14T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - sixth cycle billing cycle type details,90,6,2022-02-23T,2022-02-28T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - seventh cycle billing cycle type details,91,7,2022-03-09T,2022-03-14T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - eighth cycle billing cycle type details,92,8,2022-03-23T,2022-03-28T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - ninth cycle billing cycle type details,93,9,2022-04-06T,2022-04-11T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - tenth cycle billing cycle type details,94,10,2022-04-20T,2022-04-25T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - eleventh cycle billing cycle type details,95,11,2022-05-04T,2022-05-09T
TC2054 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 5 days first cycle 16 days,DD_13 - twelfth cycle billing cycle type details,96,12,2022-05-18T,2022-05-23T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - first cycle billing cycle type details,97,1,2021-12-13T,2021-12-15T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - second cycle billing cycle type details,98,2,2021-12-27T,2021-12-29T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - third cycle billing cycle type details,99,3,2022-01-10T,2022-01-12T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - fourth cycle billing cycle type details,100,4,2022-01-24T,2022-01-26T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - fifth cycle billing cycle type details,101,5,2022-02-07T,2022-02-09T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - sixth cycle billing cycle type details,102,6,2022-02-21T,2022-02-23T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - seventh cycle billing cycle type details,103,7,2022-03-07T,2022-03-09T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - eighth cycle billing cycle type details,104,8,2022-03-21T,2022-03-23T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - ninth cycle billing cycle type details,105,9,2022-04-04T,2022-04-06T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - tenth cycle billing cycle type details,106,10,2022-04-18T,2022-04-20T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - eleventh cycle billing cycle type details,107,11,2022-05-02T,2022-05-04T
TC2055 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 14 days cycle due interval 2 days first cycle 14 days,DD_14 - twelfth cycle billing cycle type details,108,12,2022-05-16T,2022-05-18T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - first cycle billing cycle type details,109,1,2021-11-29T,2021-12-01T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - second cycle billing cycle type details,110,2,2021-12-20T,2021-12-22T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - third cycle billing cycle type details,111,3,2022-01-10T,2022-01-12T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - fourth cycle billing cycle type details,112,4,2022-01-31T,2022-02-02T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - fifth cycle billing cycle type details,113,5,2022-02-21T,2022-02-23T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - sixth cycle billing cycle type details,114,6,2022-03-14T,2022-03-16T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - seventh cycle billing cycle type details,115,7,2022-04-04T,2022-04-06T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - eighth cycle billing cycle type details,116,8,2022-04-25T,2022-04-27T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - ninth cycle billing cycle type details,117,9,2022-05-16T,2022-05-18T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - tenth cycle billing cycle type details,118,10,2022-06-06T,2022-06-08T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - eleventh cycle billing cycle type details,119,11,2022-06-27T,2022-06-29T
TC2057 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 2 days first cycle 0 days,DD_16 - twelfth cycle billing cycle type details,120,12,2022-07-18T,2022-07-20T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - first cycle billing cycle type details,121,1,2021-11-29T,2021-12-04T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - second cycle billing cycle type details,122,2,2021-12-20T,2021-12-25T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - third cycle billing cycle type details,123,3,2022-01-10T,2022-01-15T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - fourth cycle billing cycle type details,124,4,2022-01-31T,2022-02-05T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - fifth cycle billing cycle type details,125,5,2022-02-21T,2022-02-26T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - sixth cycle billing cycle type details,126,6,2022-03-14T,2022-03-19T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - seventh cycle billing cycle type details,127,7,2022-04-04T,2022-04-09T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - eighth cycle billing cycle type details,128,8,2022-04-25T,2022-04-30T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - ninth cycle billing cycle type details,129,9,2022-05-16T,2022-05-21T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - tenth cycle billing cycle type details,130,10,2022-06-06T,2022-06-11T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - eleventh cycle billing cycle type details,131,11,2022-06-27T,2022-07-02T
TC2058 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval 5 days first cycle 0 days,DD_17 - twelfth cycle billing cycle type details,132,12,2022-07-18T,2022-07-23T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - first cycle billing cycle type details,133,1,2021-11-29T,2021-12-15T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - second cycle billing cycle type details,134,2,2021-12-20T,2022-01-05T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - third cycle billing cycle type details,135,3,2022-01-10T,2022-01-26T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - fourth cycle billing cycle type details,136,4,2022-01-31T,2022-02-16T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - fifth cycle billing cycle type details,137,5,2022-02-21T,2022-03-09T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - sixth cycle billing cycle type details,138,6,2022-03-14T,2022-03-30T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - seventh cycle billing cycle type details,139,7,2022-04-04T,2022-04-20T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - eighth cycle billing cycle type details,140,8,2022-04-25T,2022-05-11T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - ninth cycle billing cycle type details,141,9,2022-05-16T,2022-06-01T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - tenth cycle billing cycle type details,142,10,2022-06-06T,2022-06-22T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - eleventh cycle billing cycle type details,143,11,2022-06-27T,2022-07-13T
TC2059 - Verify cycle type details in AM schedule with post promo len as 12 cycle interval 21 days cycle due interval -5 days first cycle 0 days,DD_18 - twelfth cycle billing cycle type details,144,12,2022-07-18T,2022-08-03T
