tc_name,index,processing_type,status,sub_status,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,allocation,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,deferred_interest_balance_cents,post_promo_len,post_promo_impl_interest_rate_percent
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,36,validateAccountSummary,,,,,,,,,,,0,315,0,37914,38229,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,37,getStatementID,,,,,,,,,2021-05-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,38,validateStatement,,,,,,,,,,installment,0,315,0,37914,38229,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,39,createACHPayment,,,,2021-06-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,40,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,41,rollTimeForward,,,2021-07-19T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,42,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,43,validateAccountSummary,,,,,,,,,,,0,253,0,30456,30709,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,44,getStatementID,,,,,,,,,2021-06-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,45,validateStatement,,,,,,,,,,installment,0,253,0,30456,30709,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,46,createACHPayment,,,,2021-07-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,47,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,48,rollTimeForward,,,2021-08-19T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,49,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,50,validateAccountSummary,,,,,,,,,,,0,190,0,22936,23126,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,51,getStatementID,,,,,,,,,2021-07-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,52,validateStatement,,,,,,,,,,installment,0,190,0,22936,23126,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,53,createACHPayment,,,,2021-08-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,54,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,55,rollTimeForward,,,2021-09-19T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,56,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,57,validateAccountSummary,,,,,,,,,,,0,127,0,15353,15480,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,58,getStatementID,,,,,,,,,2021-08-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,59,validateStatement,,,,,,,,,,installment,0,127,0,15353,15480,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,60,createACHPayment,,,,2021-09-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,61,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,62,rollTimeForward,,,2021-10-19T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,63,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,64,validateAccountSummary,,,,,,,,,,,0,64,0,7707,7771,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,65,getStatementID,,,,,,,,,2021-09-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,66,validateStatement,,,,,,,,,,installment,0,64,0,7707,7771,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,67,createACHPayment,,,,2021-10-20T11:48:18.254199+00,,7771,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,68,validateLineItem,,,,,,7771,PAYMENT,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,69,rollTimeForward,,,2021-11-19T,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,70,validateAccountStatus,CLOSED,PAID_OFF,,,,,,,,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,71,validateAccountSummary,,,,,,,,,,,0,0,0,0,0,0,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,72,getStatementID,,,,,,,,,2021-10-16T,,,,,,,,,
PP2753 - Borrower pays off according to the amortization schedule through end of term making all payments on time exact monthly prescribed payments - on time,73,validateStatement,,,,,,,,,,installment,0,0,0,0,0,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,74,createProduct,non_deferred_interest_product.json,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,75,createAccount,non_deferred_interest_account.json,,,,,,,,,,,,,,,,6,9.99
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,76,charge,,,,2021-01-16T13:19:56+00:00,,50000,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,77,validateLineItem,,,,,,-50000,CHARGE,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,78,rollTimeForward,,,2021-02-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,79,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,80,validateAccountSummary,,,,,,,,,,,0,0,0,50000,50000,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,81,getStatementID,,,,,,,,,2021-01-15T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,82,validateStatement,,,,,,,,,,Multi_Adv,0,0,0,50000,50000,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,83,createACHPayment,,,,2021-02-20T11:48:18.254199+00,,1615,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,84,validateLineItem,,,,,,1615,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,85,rollTimeForward,,,2021-03-19T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,86,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,87,validateAccountSummary,,,,,,,,,,,0,0,0,48385,48385,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,88,getStatementID,,,,,,,,,2021-02-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,89,validateStatement,,,,,,,,,,Multi_Adv,0,0,0,48385,48385,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,90,createACHPayment,,,,2021-03-20T11:48:18.254199+00,,1563,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,91,validateLineItem,,,,,,1563,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,92,rollTimeForward,,,2021-04-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,93,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,94,validateAccountSummary,,,,,,,,,,,0,0,0,46822,46822,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,95,getStatementID,,,,,,,,,2021-03-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,96,validateStatement,,,,,,,,,,Multi_Adv,0,0,0,46822,46822,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,97,createACHPayment,,,,2021-04-20T11:48:18.254199+00,,1512,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,98,validateLineItem,,,,,,1512,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,99,rollTimeForward,,,2021-05-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,100,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,101,validateAccountSummary,,,,,,,,,,,0,377,0,45310,45687,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,102,getStatementID,,,,,,,,,2021-04-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,103,validateStatement,,,,,,,,,,installment,0,377,0,45310,45687,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,104,validateLineItem,,,,,,-45310,LOAN,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,111,AMSchedule,,,,,,,,,,,,,,,,,6,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,105,createACHPayment,,,,2021-05-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,106,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,106,rollTimeForward,,,2021-06-19T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,107,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,108,validateAccountSummary,,,,,,,,,,,0,315,0,37914,38229,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,109,getStatementID,,,,,,,,,2021-05-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,110,validateStatement,,,,,,,,,,installment,0,315,0,37914,38229,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,113,createACHPayment,,,,2021-06-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,114,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,115,rollTimeForward,,,2021-07-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,116,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,117,validateAccountSummary,,,,,,,,,,,0,253,0,30456,30709,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,118,getStatementID,,,,,,,,,2021-06-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,119,validateStatement,,,,,,,,,,installment,0,253,0,30456,30709,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,120,rollTimeForward,,,2021-08-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,121,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,122,validateAccountSummary,,,,,,,,,,,4000,506,0,30456,34962,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,123,getStatementID,,,,,,,,,2021-07-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,124,validateStatement,,,,,,,,,,installment,4000,506,0,30456,34962,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,125,validateLineItem,,,,,,-4000,LATE_FEE,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,126,createACHPayment,,,,2021-08-20T11:48:18.254199+00,,19546,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,127,validateLineItem,,,,,,19546,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,128,rollTimeForward,,,2021-09-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,129,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,130,validateAccountSummary,,,,,,,,,,,0,128,0,15416,15544,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,131,getStatementID,,,,,,,,,2021-08-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,132,validateStatement,,,,,,,,,,installment,0,128,0,15416,15544,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,133,createACHPayment,,,,2021-09-20T11:48:18.254199+00,,7773,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,134,validateLineItem,,,,,,7773,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,135,rollTimeForward,,,2021-10-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,136,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,137,validateAccountSummary,,,,,,,,,,,0,64,0,7771,7835,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,138,getStatementID,,,,,,,,,2021-09-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,139,validateStatement,,,,,,,,,,installment,0,64,0,7771,7835,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,140,createACHPayment,,,,2021-10-20T11:48:18.254199+00,,7775,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,141,validateLineItem,,,,,,7775,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,142,rollTimeForward,,,2021-11-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,143,validateAccountStatus,ACTIVE,,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,144,validateAccountSummary,,,,,,,,,,,0,0,0,60,60,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,145,getStatementID,,,,,,,,,2021-10-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,146,validateStatement,,,,,,,,,,installment,0,0,0,60,60,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,147,createACHPayment,,,,2021-11-20T11:48:18.254199+00,,60,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,148,validateLineItem,,,,,,60,PAYMENT,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,149,rollTimeForward,,,2021-12-17T,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,150,validateAccountStatus,CLOSED,PAID_OFF,,,,,,,,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,151,validateAccountSummary,,,,,,,,,,,0,0,0,0,0,0,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,152,getStatementID,,,,,,,,,2021-11-16T,,,,,,,,,
PP2754 - Borrower pays off according to the amortization schedule through end of term missing some payments and incurring late fees exact monthly prescribed payments some not on time,153,validateStatement,,,,,,,,,,installment,0,0,0,0,0,0,,
